ID            : 5943
TypeExp       : DISNEU
TypeTheo      : SIG
TypeCurrent   : CCWM
A1            : 56
A2            : 0
Z1            : 26
Z2            : 0
KinVar        : [X, Q2, Y ]

X	Q2	Y	data	theory	totError	totErrorUncor	chi2Naive	chi2Corr
0.650	23.470	0.350	0.06505	0.06363	0.01272	0.01082	0.01113	-0.01733
0.650	30.180	0.450	0.06139	0.04257	0.01436	0.01363	1.70580	1.79241
0.045	4.115	0.750	0.75069	0.67180	0.06579	0.05354	1.40563	2.22228
0.080	4.390	0.450	1.04124	0.97670	0.05846	0.04210	1.17253	2.10036
0.080	5.365	0.550	0.94232	0.83416	0.04438	0.04128	5.81696	6.66069
0.080	6.341	0.650	0.78173	0.71266	0.04442	0.03935	2.35241	2.54922
0.080	7.316	0.750	0.66669	0.61547	0.05363	0.04733	0.88444	0.80371
0.125	5.335	0.350	1.10532	1.05970	0.04901	0.03966	0.81732	1.49794
0.125	6.859	0.450	0.94342	0.87643	0.04525	0.03763	2.11904	3.08704
0.125	8.383	0.550	0.75180	0.71803	0.03770	0.03467	0.76045	0.79066
0.125	9.908	0.650	0.60562	0.58740	0.03743	0.03356	0.21855	0.28135
0.125	11.430	0.750	0.50760	0.48599	0.04256	0.04088	0.24373	0.27288
0.175	5.335	0.250	1.11933	1.14127	0.04587	0.04079	0.25728	0.48989
0.175	7.469	0.350	0.96185	0.92475	0.04763	0.03848	0.56971	0.88880
0.175	9.603	0.450	0.73938	0.73622	0.03961	0.03494	0.00332	-0.01731
0.175	11.740	0.550	0.64387	0.57770	0.03533	0.03434	3.42742	3.51434
0.175	13.870	0.650	0.41149	0.44962	0.03089	0.03013	1.56255	1.70457
0.175	16.000	0.750	0.33240	0.35205	0.04518	0.03740	0.19692	0.42338
0.225	4.115	0.150	1.19242	1.23607	0.06888	0.06493	0.42821	0.43196
0.225	6.859	0.250	0.96465	0.99214	0.04431	0.03915	0.41788	0.72077
0.225	9.603	0.350	0.77112	0.78061	0.05279	0.03587	0.03892	0.19345
0.225	12.350	0.450	0.66619	0.60171	0.03785	0.03489	2.83151	2.98926
0.225	15.090	0.550	0.48388	0.45405	0.03437	0.03231	0.72406	0.76848
0.225	17.830	0.650	0.34231	0.33649	0.03480	0.03025	0.02418	-0.02710
0.225	20.580	0.750	0.26221	0.24809	0.04110	0.03723	0.11293	0.07370
0.275	5.030	0.150	1.06827	1.07207	0.09266	0.06289	0.00299	0.02242
0.275	8.383	0.250	0.85522	0.83781	0.04316	0.03800	0.14420	0.12272
0.275	11.740	0.350	0.72236	0.64338	0.03949	0.03645	3.91350	4.40734
0.275	15.090	0.450	0.48638	0.48262	0.03642	0.03154	0.00761	-0.00772
0.275	18.440	0.550	0.43111	0.35191	0.03405	0.03272	5.34144	5.75941
0.275	21.800	0.650	0.27903	0.24905	0.03310	0.03056	0.80213	0.88787
0.350	6.402	0.150	0.86833	0.81950	0.04883	0.04214	0.95858	1.25384
0.350	10.670	0.250	0.59180	0.61913	0.02830	0.02320	0.98062	1.22357
0.350	14.940	0.350	0.47517	0.46168	0.02326	0.02212	0.30860	0.21840
0.350	19.210	0.450	0.35042	0.33519	0.02211	0.02047	0.44841	0.61389
0.350	23.470	0.550	0.23638	0.23439	0.02016	0.01928	0.00720	0.01598
0.350	27.740	0.650	0.12625	0.15615	0.02293	0.01737	1.71723	2.85353
0.450	13.720	0.250	0.34141	0.37548	0.02201	0.01832	2.45385	3.61245
0.450	19.210	0.350	0.30286	0.27141	0.02047	0.01889	2.30721	2.94297
0.450	24.690	0.450	0.18292	0.19092	0.01870	0.01653	0.19322	0.29898
0.450	30.180	0.550	0.12094	0.12814	0.01721	0.01609	0.18159	0.21214
0.550	16.770	0.250	0.20585	0.19949	0.01959	0.01458	0.09735	0.29646
0.550	23.470	0.350	0.15599	0.14039	0.01947	0.01459	0.62625	1.07659
0.550	30.180	0.450	0.09911	0.09636	0.01828	0.01368	0.02064	0.10392
0.650	27.740	0.350	0.06543	0.06090	0.01088	0.00967	0.16712	0.26826
0.650	35.670	0.450	0.03787	0.04086	0.00947	0.00928	0.10329	0.12333
0.045	4.115	0.650	0.90988	0.78159	0.05844	0.04651	4.73814	7.94973
0.045	4.749	0.750	0.71695	0.69308	0.04775	0.04464	0.23245	0.28248
0.080	5.065	0.450	1.06026	0.99265	0.05472	0.04375	1.46993	2.41055
0.080	6.191	0.550	0.85542	0.84811	0.04788	0.04021	0.01726	0.05813
0.080	7.316	0.650	0.77392	0.72522	0.04609	0.03928	1.07478	1.55368
0.080	8.442	0.750	0.63916	0.62715	0.04172	0.03944	0.07269	0.10236
0.125	4.397	0.250	1.28653	1.27251	0.04530	0.04399	0.07606	0.09156
0.125	6.156	0.350	1.15237	1.06823	0.04396	0.04194	3.54582	3.79812
0.125	7.914	0.450	0.87955	0.88324	0.04728	0.03691	0.01006	0.03710
0.125	9.673	0.550	0.74749	0.72378	0.03909	0.03537	0.34070	0.51845
0.125	11.430	0.650	0.60712	0.59250	0.04242	0.03362	0.10744	0.11476
0.125	13.190	0.750	0.45734	0.49071	0.03588	0.03309	0.89315	0.70246
0.175	6.156	0.250	1.08729	1.14415	0.04261	0.04130	1.86229	1.73657
0.175	8.618	0.350	0.92070	0.92639	0.04803	0.03856	0.02002	-0.00713
0.175	11.080	0.450	0.74559	0.73740	0.03800	0.03562	0.03696	0.07989
0.175	13.540	0.550	0.57518	0.57874	0.03590	0.03238	0.01397	0.00848
0.175	16.000	0.650	0.41309	0.45073	0.03441	0.02960	1.22746	1.52008
0.175	18.470	0.750	0.37224	0.35327	0.04128	0.03342	0.20146	0.35684
0.225	4.749	0.150	1.29454	1.23504	0.07293	0.05768	0.63152	0.81842
0.225	7.914	0.250	0.97696	0.98973	0.04676	0.04055	0.08880	-0.00455
0.225	11.080	0.350	0.71465	0.77832	0.03999	0.03479	2.60243	3.23030
0.225	14.250	0.450	0.61363	0.59990	0.03590	0.03366	0.13126	0.10875
0.225	17.410	0.550	0.45104	0.45282	0.03332	0.03086	0.00487	-0.00235
0.225	20.580	0.650	0.39958	0.33582	0.03416	0.03226	3.43239	3.95174
0.225	23.740	0.750	0.22957	0.24795	0.03241	0.03053	0.33092	0.41340
0.275	5.804	0.150	1.10832	1.06618	0.06826	0.05416	0.35764	0.79878
0.275	9.673	0.250	0.81898	0.83223	0.04203	0.03759	0.11471	0.06860
0.275	13.540	0.350	0.65768	0.63892	0.03679	0.03473	0.23895	0.31733
0.275	17.410	0.450	0.48057	0.47930	0.03508	0.03101	0.00039	0.00904
0.275	21.280	0.550	0.37014	0.34966	0.03315	0.02958	0.36538	0.52410
0.275	25.150	0.650	0.30046	0.24772	0.03399	0.03088	2.37503	3.18728
0.350	7.387	0.150	0.84360	0.80969	0.03877	0.03498	0.72038	0.97493
0.350	12.310	0.250	0.64096	0.61145	0.03078	0.02475	0.87243	1.58969
0.350	17.240	0.350	0.42290	0.45597	0.02393	0.02055	1.96834	2.33479
0.350	22.160	0.450	0.32979	0.33124	0.02781	0.02000	0.00437	0.00829
0.350	27.080	0.550	0.24409	0.23178	0.02309	0.01915	0.27115	0.35325
0.350	32.010	0.650	0.14207	0.15456	0.01864	0.01733	0.46132	0.38018
0.450	9.497	0.150	0.53774	0.50654	0.03312	0.02796	0.85135	1.49670
0.450	15.830	0.250	0.38125	0.36796	0.02459	0.01955	0.27285	0.69303
0.450	22.160	0.350	0.26982	0.26626	0.02245	0.01770	0.02076	0.09138
0.450	28.490	0.450	0.17401	0.18745	0.01682	0.01598	0.65877	0.68379
0.450	34.820	0.550	0.12905	0.12591	0.01749	0.01600	0.02925	0.09129
0.550	19.350	0.250	0.18282	0.19377	0.01589	0.01351	0.49362	0.36994
0.550	27.080	0.350	0.13216	0.13669	0.01543	0.01297	0.09258	-0.01224
0.550	34.820	0.450	0.11143	0.09394	0.01779	0.01438	0.95171	1.58226
0.550	42.560	0.550	0.02997	0.06135	0.01189	0.00909	6.97744	9.63665
0.650	22.860	0.250	0.08713	0.08559	0.01352	0.00936	0.01143	0.04134
0.650	32.010	0.350	0.05349	0.05872	0.00925	0.00866	0.32695	0.21264
0.650	41.150	0.450	0.04690	0.03949	0.01193	0.00971	0.37992	0.70940
0.750	36.930	0.350	0.01745	0.01930	0.00534	0.00471	0.12291	0.11902
0.045	4.664	0.650	0.89607	0.80102	0.05348	0.05036	3.08810	4.04627
0.045	5.382	0.750	0.87765	0.71153	0.05548	0.05216	8.85272	10.59199
0.080	4.465	0.350	1.21845	1.16922	0.05866	0.05174	0.66348	0.94272
0.080	5.741	0.450	0.93171	1.00613	0.05225	0.04517	2.08983	2.72131
0.080	7.016	0.550	0.93732	0.85984	0.05611	0.04592	1.85183	2.64924
0.080	8.292	0.650	0.74058	0.73579	0.05490	0.04163	0.00508	0.02847
0.080	9.568	0.750	0.66619	0.63695	0.04513	0.04196	0.39748	0.44832
0.125	4.983	0.250	1.34760	1.28176	0.06319	0.05000	1.03370	2.10512
0.125	6.976	0.350	1.14236	1.07508	0.04750	0.04597	1.92568	2.21414
0.125	8.970	0.450	0.82008	0.88870	0.04539	0.03898	2.35152	3.44418
0.125	10.960	0.550	0.72296	0.72835	0.04444	0.03736	0.01981	0.01518
0.125	12.960	0.650	0.59671	0.59655	0.03815	0.03533	0.00021	0.00037
0.125	14.950	0.750	0.49018	0.49444	0.04235	0.03553	0.01306	0.02453
0.175	4.186	0.150	1.27151	1.38759	0.07208	0.05472	2.66159	4.88506
0.175	6.976	0.250	1.12534	1.14608	0.04953	0.04628	0.19872	0.21255
0.175	9.767	0.350	0.93291	0.92736	0.05481	0.04205	0.00657	0.07275
0.175	12.560	0.450	0.71996	0.73803	0.04212	0.03741	0.20189	0.21496
0.175	15.350	0.550	0.56407	0.57932	0.03928	0.03470	0.16433	0.27157
0.175	18.140	0.650	0.50790	0.45139	0.03805	0.03524	2.15950	2.47763
0.175	20.930	0.750	0.39137	0.35407	0.03966	0.03533	0.86195	1.15378
0.225	5.382	0.150	1.28153	1.23344	0.05843	0.05646	0.63486	0.87602
0.225	8.970	0.250	1.10131	0.98719	0.04706	0.04643	5.74652	5.90195
0.225	12.560	0.350	0.81277	0.77596	0.05380	0.04062	0.44385	0.63926
0.225	16.150	0.450	0.57258	0.59802	0.03879	0.03472	0.45350	0.56447
0.225	19.730	0.550	0.46505	0.45151	0.03956	0.03278	0.10782	0.25574
0.225	23.320	0.650	0.32599	0.33509	0.03626	0.03074	0.06855	0.03025
0.225	26.910	0.750	0.29045	0.24762	0.03954	0.03529	1.15420	1.41861
0.275	6.578	0.150	1.03223	1.06058	0.05304	0.05119	0.31101	0.28962
0.275	10.960	0.250	0.82178	0.82711	0.04271	0.04076	0.02182	0.01589
0.275	15.350	0.350	0.62995	0.63479	0.03743	0.03637	0.02232	0.01799
0.275	19.730	0.450	0.48958	0.47623	0.03799	0.03372	0.11298	0.14741
0.275	24.120	0.550	0.40388	0.34760	0.04188	0.03327	1.77559	2.87970
0.275	28.500	0.650	0.31397	0.24640	0.04158	0.03390	2.61117	3.52077
0.275	32.890	0.750	0.18892	0.17110	0.03501	0.03287	0.25269	0.37249
0.350	8.372	0.150	0.79895	0.80099	0.03834	0.03277	0.00609	-0.00635
0.350	13.950	0.250	0.62374	0.60468	0.02741	0.02610	0.44658	0.58869
0.350	19.530	0.350	0.42010	0.45096	0.02878	0.02183	1.18774	1.84274
0.350	25.110	0.450	0.29595	0.32776	0.02300	0.01945	1.95482	2.10823
0.350	30.700	0.550	0.20144	0.22942	0.02330	0.01807	1.46642	2.37168
0.350	36.280	0.650	0.12225	0.15311	0.01896	0.01639	2.67543	3.08599
0.450	10.760	0.150	0.47446	0.49731	0.02818	0.02504	0.68996	0.59011
0.450	17.940	0.250	0.36083	0.36152	0.02576	0.02018	0.00189	-0.01330
0.450	25.110	0.350	0.24980	0.26187	0.02149	0.01772	0.33152	0.27713
0.450	32.290	0.450	0.18953	0.18444	0.02045	0.01717	0.05652	0.16934
0.450	39.470	0.550	0.14647	0.12396	0.02058	0.01756	1.17789	1.99396
0.450	46.640	0.650	0.06722	0.07780	0.03843	0.01561	0.07690	0.80671
0.550	21.930	0.250	0.19173	0.18905	0.01692	0.01488	0.02091	0.05997
0.550	30.700	0.350	0.14527	0.13356	0.01605	0.01441	0.51735	0.80627
0.550	39.470	0.450	0.09712	0.09188	0.01670	0.01380	0.09414	0.16700
0.550	48.240	0.550	0.05729	0.06006	0.01458	0.01297	0.03791	0.09679
0.650	25.910	0.250	0.08048	0.08274	0.00993	0.00929	0.05653	0.04624
0.650	36.280	0.350	0.05526	0.05691	0.01004	0.00896	0.02948	-0.04339
0.650	46.640	0.450	0.04079	0.03834	0.01294	0.00947	0.03438	0.15523
0.750	41.860	0.350	0.02217	0.01849	0.00651	0.00544	0.31339	0.72416
0.045	4.411	0.550	1.17640	0.92658	0.07499	0.06700	10.97471	13.52000
0.045	5.213	0.650	0.87765	0.81816	0.06475	0.05782	0.81458	1.21801
0.045	6.015	0.750	0.79485	0.72780	0.06818	0.05489	0.93986	1.65899
0.045	6.817	0.850	0.56117	0.65853	0.08533	0.07727	1.31965	1.36624
0.080	4.990	0.350	1.19943	1.18292	0.06156	0.06010	0.06001	0.06819
