ID            : 5203
TypeExp       : DY
TypeTheo      : RSIG
TypeCurrent   : DUMMYALL
A1            : 12
A2            : 2
Z1            : 6
Z2            : 1
KinVar        : [X, Q2, RS ]

X	Q2	RS	data	theory	totError	totErrorUncor	chi2Naive	chi2Corr
0.396	24.400	38.760	0.98100	0.96331	0.02625	0.02625	0.45408	0.45408
0.361	33.600	38.760	0.97400	0.97939	0.02441	0.02441	0.04879	0.04879
0.331	43.300	38.760	1.01300	0.98847	0.02561	0.02561	0.91693	0.91693
0.304	50.700	38.760	1.01100	0.99223	0.02828	0.02828	0.44039	0.44039
0.288	58.800	38.760	0.97900	0.99305	0.03360	0.03360	0.17480	0.17480
0.279	67.400	38.760	1.04900	0.99182	0.04833	0.04833	1.39952	1.39952
0.274	76.600	38.760	1.11700	0.98898	0.07666	0.07666	2.78912	2.78912
0.366	118.800	38.760	1.15100	0.98028	0.11180	0.11180	2.33168	2.33168
0.425	171.600	38.760	1.04400	0.96663	0.20299	0.20299	0.14528	0.14528
