ID            : 5115
TypeExp       : DIS
TypeTheo      : RF2
TypeCurrent   : NCGAMMA
A1            : 6
A2            : 2
Z1            : 3
Z2            : 1
KinVar        : [X, Q2, Y ]

X	Q2	Y	data	theory	totError	totErrorUncor	chi2Naive	chi2Corr
0.045	4.200	0.280	0.99700	0.99464	0.01187	0.01187	0.03966	0.03966
0.055	4.800	0.270	0.98600	1.00053	0.01271	0.01271	1.30718	1.30718
0.070	6.000	0.250	1.00300	1.00741	0.01188	0.01188	0.13776	0.13776
0.090	7.200	0.240	1.00400	1.01339	0.01361	0.01361	0.47666	0.47666
0.125	9.200	0.230	1.00900	1.01838	0.01189	0.01189	0.62284	0.62284
0.175	12.000	0.230	1.00200	1.01767	0.01540	0.01540	1.03563	1.03563
0.250	17.000	0.220	0.99200	1.00705	0.01630	0.01630	0.85274	0.85274
0.350	23.000	0.210	0.99000	0.98562	0.02774	0.02774	0.02490	0.02490
0.450	29.000	0.200	0.91000	0.96184	0.04344	0.04344	1.42386	1.42386
0.550	33.000	0.150	0.98800	0.93813	0.08231	0.08231	0.36711	0.36711
0.650	39.000	0.130	0.80100	0.91591	0.10895	0.10895	1.11247	1.11247
