ID            : 5108
TypeExp       : DIS
TypeTheo      : RF2
TypeCurrent   : NCGAMMA
A1            : 119
A2            : 2
Z1            : 59.5
Z2            : 1
KinVar        : [X, Q2 ]

X	Q2	data	theory	totError	totErrorUncor	chi2Naive	chi2Corr
0.031	4.000	0.80000	0.94460	0.05390	0.05390	7.19743	7.19743
0.050	7.700	0.87300	0.99063	0.04647	0.04647	6.40686	6.40686
0.079	11.100	0.94800	1.02324	0.04263	0.04263	3.11459	3.11459
0.123	14.600	1.00800	1.03850	0.04849	0.04849	0.39567	0.39567
0.173	17.100	1.03000	1.03378	0.05462	0.05462	0.00479	0.00479
0.246	19.800	1.00900	1.00989	0.05161	0.05161	0.00030	0.00030
0.343	24.800	0.92700	0.96926	0.06316	0.06316	0.44763	0.44763
0.443	32.400	0.84100	0.92802	0.08731	0.08731	0.99341	0.99341
