ID            : 5107
TypeExp       : DIS
TypeTheo      : RF2
TypeCurrent   : NCGAMMA
A1            : 12
A2            : 2
Z1            : 6
Z2            : 1
KinVar        : [X, Q2 ]

X	Q2	data	theory	totError	totErrorUncor	chi2Naive	chi2Corr
0.031	5.100	0.92300	0.97524	0.04901	0.04901	1.13609	1.13609
0.050	7.800	1.02000	0.99829	0.04135	0.04135	0.27566	0.27566
0.078	11.400	1.00200	1.01629	0.03422	0.03422	0.17435	0.17435
0.123	14.400	1.04400	1.02608	0.03839	0.03839	0.21788	0.21788
0.173	17.300	0.99500	1.02389	0.04211	0.04211	0.47076	0.47076
0.243	20.200	0.95700	1.00987	0.03771	0.03771	1.96568	1.96568
0.343	24.100	0.90200	0.98189	0.04878	0.04878	2.68161	2.68161
0.442	29.800	0.90200	0.95228	0.07153	0.07153	0.49409	0.49409
0.564	33.600	0.87400	0.91713	0.09077	0.09077	0.22576	0.22576
