ID            : 5111
TypeExp       : DIS
TypeTheo      : RF2
TypeCurrent   : NCGAMMA
A1            : 27
A2            : 12
Z1            : 13.5
Z2            : 6
KinVar        : [X, Q2, Y ]

X	Q2	Y	data	theory	totError	totErrorUncor	chi2Naive	chi2Corr
0.018	4.500	0.690	0.97800	0.97540	0.02271	0.02271	0.01308	0.01308
0.025	6.100	0.660	0.96900	0.98357	0.01791	0.01791	0.66220	0.66220
0.035	8.000	0.620	0.97100	0.99061	0.01714	0.01714	1.30960	1.30960
0.045	9.800	0.590	0.98100	0.99541	0.01931	0.01931	0.55678	0.55678
0.055	11.600	0.570	1.00000	0.99889	0.01849	0.01849	0.00360	0.00360
0.070	13.900	0.540	1.01000	1.00242	0.01428	0.01428	0.28190	0.28190
0.090	16.900	0.510	1.00100	1.00514	0.01568	0.01568	0.06965	0.06965
0.125	21.300	0.470	1.00300	1.00689	0.01221	0.01221	0.10171	0.10171
0.175	27.400	0.430	1.01700	1.00584	0.01501	0.01501	0.55267	0.55267
0.250	35.500	0.390	0.99900	1.00139	0.01897	0.01897	0.01591	0.01591
0.350	45.300	0.350	0.98300	0.99475	0.03059	0.03059	0.14754	0.14754
0.450	52.900	0.320	1.01600	0.98896	0.04565	0.04565	0.35080	0.35080
0.550	58.200	0.290	0.89600	0.98399	0.07223	0.07223	1.48432	1.48432
0.700	63.900	0.250	0.98600	0.97743	0.11387	0.11387	0.00567	0.00567
