ID            : 5101
TypeExp       : DIS
TypeTheo      : RF2
TypeCurrent   : NCGAMMA
A1            : 56
A2            : 2
Z1            : 28
Z2            : 1
KinVar        : [X, Q2 ]

X	Q2	data	theory	totError	totErrorUncor	chi2Naive	chi2Corr
0.070	17.000	1.04800	1.02037	0.02755	0.02755	1.00604	1.00604
0.100	23.000	1.05700	1.03640	0.02182	0.02182	0.89089	0.89089
0.140	26.500	1.04600	1.03936	0.02117	0.02117	0.09826	0.09826
0.180	32.000	1.05000	1.03250	0.02025	0.02025	0.74658	0.74658
0.225	63.000	1.02700	1.01810	0.02046	0.02046	0.18929	0.18929
0.275	64.500	1.00000	0.99866	0.02112	0.02112	0.00400	0.00400
0.350	86.500	0.95900	0.96793	0.02022	0.02022	0.19506	0.19506
0.450	113.000	0.92300	0.92896	0.02420	0.02420	0.06073	0.06073
0.550	113.000	0.91700	0.89365	0.03148	0.03148	0.55024	0.55024
0.650	113.000	0.81300	0.86201	0.03972	0.03972	1.52271	1.52271
