ID            : 5205
TypeExp       : DY
TypeTheo      : RSIG
TypeCurrent   : DUMMYALL
A1            : 56
A2            : 2
Z1            : 26
Z2            : 1
KinVar        : [X, Q2, RS ]

X	Q2	RS	data	theory	totError	totErrorUncor	chi2Naive	chi2Corr
0.396	24.400	38.760	0.95400	0.93354	0.02441	0.02441	0.70219	0.70219
0.361	33.600	38.760	0.97600	0.96833	0.02283	0.02283	0.11277	0.11277
0.331	43.300	38.760	1.00900	0.99053	0.02332	0.02332	0.62683	0.62683
0.304	50.700	38.760	0.99200	1.00173	0.02441	0.02441	0.15881	0.15881
0.288	58.800	38.760	0.98400	1.00663	0.02691	0.02691	0.70758	0.70758
0.279	67.400	38.760	1.00900	1.00666	0.03360	0.03360	0.00485	0.00485
0.274	76.600	38.760	0.95300	1.00263	0.04206	0.04206	1.39246	1.39246
0.361	118.800	38.760	1.01600	0.99178	0.05385	0.05385	0.20220	0.20220
0.421	171.600	38.760	0.98400	0.97081	0.09024	0.09024	0.02135	0.02135
