ID            : 5104
TypeExp       : DIS
TypeTheo      : RF2
TypeCurrent   : NCGAMMA
A1            : 64
A2            : 2
Z1            : 32
Z2            : 1
KinVar        : [X, Q2 ]

X	Q2	data	theory	totError	totErrorUncor	chi2Naive	chi2Corr
0.015	4.500	0.85700	0.88711	0.03183	0.03183	0.89517	0.89517
0.050	6.400	1.00500	0.98780	0.01769	0.01769	0.94541	0.94541
0.079	8.500	1.01100	1.01788	0.01556	0.01556	0.19537	0.19537
0.123	11.000	1.04100	1.03500	0.01887	0.01887	0.10122	0.10122
0.173	16.100	1.03100	1.03318	0.01628	0.01628	0.01797	0.01797
0.243	19.300	1.01800	1.01252	0.01720	0.01720	0.10132	0.10132
0.343	25.800	0.96200	0.97291	0.02371	0.02371	0.21197	0.21197
0.444	36.000	0.95900	0.93286	0.03640	0.03640	0.51587	0.51587
0.612	46.400	0.91800	0.87375	0.04492	0.04492	0.97020	0.97020
