ID            : 5944
TypeExp       : DISNEU
TypeTheo      : SIG
TypeCurrent   : CCWM
A1            : 56
A2            : 0
Z1            : 26
Z2            : 0
KinVar        : [X, Q2, Y ]

X	Q2	Y	data	theory	totError	totErrorUncor	chi2Naive	chi2Corr
0.125	4.514	0.550	0.71670	0.68702	0.13450	0.13450	0.04869	0.04869
0.175	4.022	0.350	0.88420	0.91072	0.11040	0.11040	0.05768	0.05768
0.175	5.171	0.450	0.62120	0.72541	0.09061	0.09061	1.32283	1.32283
0.175	6.320	0.550	0.29290	0.56814	0.09690	0.09690	8.06843	8.06843
0.225	5.171	0.350	0.67710	0.78561	0.09782	0.09782	1.23040	1.23040
0.225	6.648	0.450	0.64570	0.60549	0.09720	0.09720	0.17117	0.17117
0.225	8.125	0.550	0.42790	0.45587	0.10430	0.10430	0.07191	0.07191
0.275	6.320	0.350	0.70420	0.65960	0.10870	0.10870	0.16839	0.16839
0.275	8.125	0.450	0.54830	0.49441	0.10160	0.10160	0.28137	0.28137
0.275	9.931	0.550	0.27730	0.35951	0.11320	0.11320	0.52739	0.52739
0.350	8.043	0.350	0.49940	0.48548	0.06672	0.06672	0.04353	0.04353
0.350	10.341	0.450	0.27920	0.35180	0.06422	0.06422	1.27801	1.27801
0.450	10.341	0.350	0.24360	0.29524	0.06873	0.06873	0.56461	0.56461
0.450	13.296	0.450	0.13630	0.20667	0.06448	0.06448	1.19091	1.19091
0.080	4.390	0.650	0.56290	0.67822	0.10050	0.10050	1.31672	1.31672
0.125	4.749	0.450	0.96480	0.85610	0.08975	0.08975	1.46686	1.46686
0.125	5.804	0.550	0.75840	0.70075	0.08341	0.08341	0.47763	0.47763
0.125	6.859	0.650	0.63090	0.57202	0.11960	0.11960	0.24236	0.24236
0.175	5.171	0.350	0.88570	0.91779	0.06794	0.06794	0.22309	0.22309
0.175	6.648	0.450	0.82780	0.73091	0.07142	0.07142	1.84037	1.84037
0.175	8.125	0.550	0.55070	0.57297	0.09368	0.09368	0.05653	0.05653
0.175	9.603	0.650	0.40290	0.44500	0.08713	0.08713	0.23343	0.23343
0.225	4.749	0.250	1.06500	0.99573	0.10870	0.10870	0.40607	0.40607
0.225	6.648	0.350	0.83040	0.78460	0.07292	0.07292	0.39443	0.39443
0.225	8.548	0.450	0.64260	0.60476	0.08931	0.08931	0.17950	0.17950
0.225	10.447	0.550	0.44690	0.45584	0.08303	0.08303	0.01159	0.01159
0.225	12.346	0.650	0.27630	0.33701	0.10470	0.10470	0.33618	0.33618
0.275	5.804	0.250	0.79480	0.85047	0.07623	0.07623	0.53326	0.53326
0.275	8.125	0.350	0.74300	0.65368	0.07197	0.07197	1.54010	1.54010
0.275	10.447	0.450	0.40490	0.49017	0.06185	0.06185	1.90082	1.90082
0.275	12.769	0.550	0.35500	0.35702	0.07355	0.07355	0.00075	0.00075
0.350	7.387	0.250	0.58590	0.63847	0.04597	0.04597	1.30778	1.30778
0.350	10.341	0.350	0.55330	0.47602	0.05393	0.05393	2.05325	2.05325
