ID            : 5204
TypeExp       : DY
TypeTheo      : RSIG
TypeCurrent   : DUMMYALL
A1            : 40
A2            : 2
Z1            : 20
Z2            : 1
KinVar        : [X, Q2, RS ]

X	Q2	RS	data	theory	totError	totErrorUncor	chi2Naive	chi2Corr
0.396	24.400	38.760	0.97100	0.93765	0.02441	0.02441	1.86600	1.86600
0.361	33.600	38.760	0.98000	0.96748	0.02236	0.02236	0.31340	0.31340
0.331	43.300	38.760	1.00100	0.98572	0.02283	0.02283	0.44829	0.44829
0.304	50.700	38.760	1.00000	0.99453	0.02385	0.02385	0.05267	0.05267
0.288	58.800	38.760	0.98600	0.99835	0.02625	0.02625	0.22141	0.22141
0.279	67.400	38.760	1.02500	0.99869	0.03280	0.03280	0.64334	0.64334
0.274	76.600	38.760	0.96600	0.99616	0.04118	0.04118	0.53631	0.53631
0.361	118.800	38.760	0.94700	0.98745	0.05016	0.05016	0.65039	0.65039
0.421	171.600	38.760	0.94700	0.97404	0.08440	0.08440	0.10260	0.10260
