ID            : 5201
TypeExp       : DY
TypeTheo      : RSIG
TypeCurrent   : DUMMYALL
A1            : 56
A2            : 9
Z1            : 26
Z2            : 4
KinVar        : [X, Q2, RS ]

X	Q2	RS	data	theory	totError	totErrorUncor	chi2Naive	chi2Corr
0.250	20.250	38.760	1.08800	0.97352	0.05197	0.05197	4.85258	4.85258
0.350	20.250	38.760	0.95800	0.95539	0.02236	0.02236	0.01361	0.01361
0.450	20.250	38.760	0.94200	0.94028	0.02147	0.02147	0.00639	0.00639
0.550	20.250	38.760	0.94700	0.92834	0.02508	0.02508	0.55333	0.55333
0.650	20.250	38.760	0.98400	0.91764	0.03736	0.03736	3.15407	3.15407
0.750	20.250	38.760	0.92000	0.90726	0.06083	0.06083	0.04390	0.04390
0.850	20.250	38.760	0.98700	0.89892	0.14534	0.14534	0.36721	0.36721
0.950	20.250	38.760	0.90500	0.89166	0.88406	0.88406	0.00023	0.00023
0.250	30.250	38.760	0.96800	0.99031	0.06774	0.06774	0.10849	0.10849
0.350	30.250	38.760	1.00600	0.97646	0.03068	0.03068	0.92734	0.92734
0.450	30.250	38.760	0.97900	0.96386	0.02693	0.02693	0.31603	0.31603
0.550	30.250	38.760	0.96100	0.95273	0.03257	0.03257	0.06452	0.06452
0.650	30.250	38.760	0.95900	0.94278	0.04805	0.04805	0.11392	0.11392
0.750	30.250	38.760	1.03900	0.93401	0.09751	0.09751	1.15928	1.15928
0.850	30.250	38.760	0.89600	0.92604	0.19526	0.19526	0.02367	0.02367
0.250	42.250	38.760	1.50900	0.99952	0.44811	0.44811	1.29263	1.29263
0.350	42.250	38.760	0.97000	0.98976	0.05197	0.05197	0.14454	0.14454
0.450	42.250	38.760	1.00800	0.98229	0.04123	0.04123	0.38888	0.38888
0.550	42.250	38.760	0.97000	0.97085	0.04415	0.04415	0.00037	0.00037
0.650	42.250	38.760	0.96200	0.96252	0.06478	0.06478	0.00006	0.00006
0.750	42.250	38.760	0.75000	0.95483	0.08161	0.08161	6.29858	6.29858
0.850	42.250	38.760	0.84100	0.94772	0.22322	0.22322	0.22856	0.22856
0.350	56.250	38.760	1.09500	0.99767	0.14534	0.14534	0.44846	0.44846
0.450	56.250	38.760	0.97300	0.99052	0.06972	0.06972	0.06312	0.06312
0.550	56.250	38.760	1.06100	0.98345	0.07566	0.07566	1.05037	1.05037
0.650	56.250	38.760	1.03500	0.97678	0.09751	0.09751	0.35642	0.35642
0.750	56.250	38.760	0.89200	0.97043	0.17529	0.17529	0.20022	0.20022
0.850	56.250	38.760	1.39400	0.96437	0.53909	0.53909	0.63512	0.63512
