ID            : 5942
TypeExp       : DISNEU
TypeTheo      : SIG
TypeCurrent   : CCWP
A1            : 56
A2            : 0
Z1            : 26
Z2            : 0
KinVar        : [X, Q2, Y ]

X	Q2	Y	data	theory	totError	totErrorUncor	chi2Naive	chi2Corr
0.125	4.514	0.550	1.50764	1.70120	0.09218	0.07836	6.62147	5.94361
0.175	4.022	0.350	1.58899	1.71235	0.07165	0.06283	5.58676	3.77871
0.175	5.171	0.450	1.52000	1.69130	0.06668	0.06474	10.42638	6.72270
0.175	6.320	0.550	1.63739	1.66902	0.11989	0.08935	0.43444	0.04964
0.225	5.171	0.350	1.57149	1.58590	0.08281	0.06673	0.52316	0.04062
0.225	6.648	0.450	1.42937	1.56135	0.07360	0.06740	5.54743	3.56915
0.225	8.125	0.550	1.50146	1.53804	0.10184	0.09368	0.61781	0.11752
0.275	6.320	0.350	1.26769	1.40496	0.11774	0.06307	2.18326	4.81619
0.275	8.125	0.450	1.43555	1.37816	0.08236	0.07345	0.03698	0.52874
0.275	9.931	0.550	1.19870	1.35440	0.12068	0.09032	2.48936	2.85483
0.350	8.043	0.350	1.04629	1.09405	0.05163	0.04415	2.28558	0.88753
0.350	10.340	0.450	1.04731	1.06610	0.05441	0.04948	0.81460	0.13908
0.450	10.340	0.350	0.64167	0.69661	0.04027	0.03767	3.33155	1.96601
0.450	13.300	0.450	0.65578	0.67107	0.06081	0.04781	0.31749	0.09875
0.080	4.390	0.650	1.58487	1.60340	0.13064	0.07309	0.24299	0.05105
0.125	4.749	0.450	1.66108	1.75114	0.05333	0.05139	6.70911	3.13550
0.125	5.804	0.550	1.74244	1.72698	0.07525	0.05619	0.21611	0.05656
0.125	6.859	0.650	1.40775	1.70335	0.10684	0.06692	9.91042	17.96131
0.175	5.171	0.350	1.69300	1.72448	0.05715	0.05264	1.98346	0.34931
0.175	6.648	0.450	1.64769	1.69951	0.06043	0.05483	2.71170	0.65631
0.175	8.125	0.550	1.62401	1.67454	0.07101	0.05914	1.88653	0.82395
0.175	9.603	0.650	1.42628	1.65151	0.08398	0.07503	10.07201	8.57013
0.225	4.749	0.250	1.53441	1.60973	0.06165	0.05741	3.77187	1.73531
0.225	6.648	0.350	1.56634	1.58204	0.05560	0.05362	1.20543	0.04824
0.225	8.548	0.450	1.59929	1.55459	0.06596	0.05784	0.00058	0.50531
0.225	10.450	0.550	1.50146	1.52936	0.09135	0.06149	0.61024	0.19632
0.225	12.350	0.650	1.48910	1.50691	0.10002	0.08681	0.37087	0.03556
0.275	5.804	0.250	1.43349	1.42291	0.08304	0.05774	0.13854	0.03966
0.275	8.125	0.350	1.39951	1.39025	0.07109	0.05346	0.19331	0.05366
0.275	10.450	0.450	1.35317	1.36156	0.06531	0.05688	0.53034	-0.00166
0.275	12.770	0.550	1.30374	1.33674	0.07345	0.06368	0.92760	0.24890
