ID            : 106
TypeExp       : DIS
TypeTheo      : F2
TypeCurrent   : NCGAMMA
A1            : 2
A2            : 0
Z1            : 1
Z2            : 0
KinVar        : [X, Q2 ]

X	Q2	data	theory	totError	totErrorUncor	chi2Naive	chi2Corr
0.070	8.750	0.38165	0.36706	0.00670	0.00670	4.73992	3.21608
0.070	10.250	0.38360	0.37060	0.00640	0.00640	4.12700	1.57381
0.100	10.250	0.36055	0.35417	0.00450	0.00450	2.01077	-0.06210
0.100	11.750	0.36655	0.35548	0.00480	0.00480	5.31462	2.68762
0.100	13.250	0.36055	0.35659	0.00510	0.00510	0.60265	-0.07531
0.140	11.750	0.33304	0.33296	0.00510	0.00510	0.00027	-0.01195
0.140	13.250	0.34403	0.33289	0.00550	0.00550	4.10227	2.11661
0.140	15.000	0.33974	0.33278	0.00510	0.00510	1.86091	0.89633
0.140	17.000	0.33773	0.33264	0.00560	0.00560	0.82693	0.43524
0.140	19.000	0.34631	0.33248	0.00650	0.00650	4.52747	4.00905
0.180	11.750	0.31578	0.30923	0.00600	0.00600	1.19025	0.64985
0.180	13.250	0.31458	0.30841	0.00610	0.00610	1.02311	0.61493
0.180	15.000	0.30259	0.30753	0.00550	0.00550	0.80574	1.40827
0.180	17.000	0.30863	0.30661	0.00620	0.00620	0.10624	-0.03781
0.180	19.000	0.31282	0.30577	0.00680	0.00680	1.07366	0.65046
0.180	21.500	0.29966	0.30483	0.00600	0.00600	0.74232	1.08852
0.180	24.500	0.29859	0.30381	0.00730	0.00730	0.51205	0.49783
0.225	11.750	0.27821	0.28057	0.00560	0.00560	0.17740	0.41380
0.225	13.250	0.28755	0.27916	0.00600	0.00600	1.95643	1.19911
0.225	15.000	0.27928	0.27768	0.00540	0.00540	0.08788	-0.07256
0.225	17.000	0.27217	0.27617	0.00560	0.00560	0.51066	0.63811
0.225	19.000	0.27346	0.27482	0.00620	0.00620	0.04835	0.11762
0.225	21.500	0.27142	0.27333	0.00560	0.00560	0.11593	0.26244
0.225	24.500	0.26840	0.27175	0.00630	0.00630	0.28345	0.31181
0.225	28.000	0.26202	0.27013	0.00560	0.00560	2.09694	2.26624
0.225	32.500	0.26189	0.26832	0.00560	0.00560	1.31858	1.35952
0.275	13.250	0.25894	0.24495	0.00630	0.00630	4.93156	4.12119
0.275	15.000	0.24846	0.24304	0.00540	0.00540	1.00896	0.51147
0.275	17.000	0.23970	0.24110	0.00570	0.00570	0.06064	0.08221
0.275	19.000	0.23833	0.23939	0.00630	0.00630	0.02831	0.07472
0.275	21.500	0.23372	0.23751	0.00550	0.00550	0.47423	0.46001
0.275	24.500	0.23571	0.23554	0.00440	0.00440	0.00145	-0.00546
0.275	28.000	0.23538	0.23354	0.00410	0.00410	0.20049	0.46658
0.275	32.500	0.23041	0.23133	0.00430	0.00430	0.04581	-0.01827
0.275	37.500	0.22231	0.22922	0.00570	0.00570	1.47126	1.43228
0.275	43.000	0.22061	0.22723	0.00590	0.00590	1.25856	1.44249
0.350	13.250	0.18309	0.19261	0.00420	0.00420	5.13863	4.47052
0.350	15.000	0.18897	0.19037	0.00390	0.00390	0.12848	0.08323
0.350	17.000	0.17921	0.18813	0.00400	0.00400	4.97159	3.67067
0.350	19.000	0.17414	0.18616	0.00420	0.00420	8.19445	7.26701
0.350	21.500	0.18573	0.18403	0.00390	0.00390	0.19045	0.60543
0.350	24.500	0.17887	0.18183	0.00290	0.00290	1.03849	0.57259
0.350	28.000	0.17794	0.17961	0.00270	0.00270	0.38062	-0.06194
0.350	32.500	0.17747	0.17717	0.00280	0.00280	0.01147	0.11088
0.350	37.500	0.17344	0.17487	0.00370	0.00370	0.15030	-0.06640
0.350	43.000	0.17070	0.17272	0.00370	0.00370	0.29790	0.21624
0.350	49.500	0.16729	0.17054	0.00380	0.00380	0.73371	0.34952
0.350	57.000	0.16445	0.16841	0.00440	0.00440	0.80951	0.70045
0.450	13.250	0.12077	0.12743	0.00400	0.00400	2.77560	-0.34941
0.450	15.000	0.11864	0.12519	0.00360	0.00360	3.30867	-0.79086
0.450	17.000	0.12121	0.12298	0.00390	0.00390	0.20676	-0.69132
0.450	19.000	0.11297	0.12108	0.00400	0.00400	4.10637	1.99894
0.450	21.500	0.11777	0.11903	0.00370	0.00370	0.11688	-0.34214
0.450	24.500	0.10969	0.11696	0.00250	0.00250	8.45884	2.99296
0.450	28.000	0.10940	0.11490	0.00230	0.00230	5.71573	1.90976
0.450	32.500	0.10935	0.11267	0.00230	0.00230	2.07771	-0.42232
0.450	37.500	0.10882	0.11059	0.00270	0.00270	0.42840	-0.53981
0.450	43.000	0.10567	0.10866	0.00300	0.00300	0.99281	0.20050
0.450	49.500	0.09836	0.10673	0.00300	0.00300	7.79337	6.03120
0.450	57.000	0.10376	0.10486	0.00340	0.00340	0.10557	-0.02543
0.450	65.500	0.09801	0.10308	0.00350	0.00350	2.09591	1.13801
0.450	75.000	0.09714	0.10139	0.00420	0.00420	1.02200	0.50663
0.550	15.000	0.05873	0.07272	0.00240	0.00240	33.95855	17.52399
0.550	17.000	0.05719	0.07086	0.00260	0.00260	27.65803	15.75091
0.550	19.000	0.06293	0.06929	0.00300	0.00300	4.49520	-0.37759
0.550	21.500	0.05927	0.06764	0.00260	0.00260	10.35533	3.42617
0.550	24.500	0.05603	0.06599	0.00280	0.00280	12.64152	6.74876
0.550	28.000	0.05914	0.06437	0.00170	0.00170	9.46801	1.34899
0.550	32.500	0.05680	0.06265	0.00170	0.00170	11.84889	4.03864
0.550	37.500	0.05526	0.06108	0.00190	0.00190	9.37695	4.20392
0.550	43.000	0.05607	0.05964	0.00230	0.00230	2.40832	0.35126
0.550	49.500	0.05516	0.05822	0.00240	0.00240	1.62844	0.25304
0.550	57.000	0.04991	0.05686	0.00240	0.00240	8.39393	5.50502
0.550	65.500	0.05210	0.05558	0.00270	0.00270	1.66088	0.52865
0.550	75.000	0.05026	0.05438	0.00290	0.00290	2.01704	0.95594
0.550	86.000	0.04732	0.05321	0.00300	0.00300	3.85748	2.68332
0.650	21.500	0.02676	0.03257	0.00150	0.00150	15.00661	7.71184
0.650	24.500	0.02864	0.03145	0.00180	0.00180	2.42910	-0.02138
0.650	28.000	0.02373	0.03037	0.00160	0.00160	17.21875	11.40309
0.650	32.500	0.02464	0.02925	0.00100	0.00100	21.23926	10.23062
0.650	37.500	0.02526	0.02824	0.00120	0.00120	6.18682	1.64545
0.650	43.000	0.02666	0.02734	0.00150	0.00150	0.20835	-0.46822
0.650	49.500	0.02457	0.02647	0.00160	0.00160	1.41655	-0.00675
0.650	57.000	0.02305	0.02565	0.00160	0.00160	2.64751	0.93200
0.650	65.500	0.02072	0.02489	0.00170	0.00170	6.01816	4.02649
0.650	75.000	0.02507	0.02419	0.00210	0.00210	0.17678	0.48231
0.650	86.000	0.01941	0.02351	0.00200	0.00200	4.20888	3.19700
0.650	99.000	0.02352	0.02286	0.00240	0.00240	0.07668	0.22217
0.750	37.500	0.00986	0.01005	0.00070	0.00070	0.07352	-0.41489
0.750	43.000	0.00802	0.00960	0.00070	0.00070	5.08840	2.28551
0.750	49.500	0.00863	0.00917	0.00080	0.00080	0.46234	-0.25827
0.750	57.000	0.00879	0.00878	0.00090	0.00090	0.00007	0.00739
0.750	65.500	0.00788	0.00843	0.00100	0.00100	0.29926	-0.04663
0.750	75.000	0.00779	0.00811	0.00110	0.00110	0.08253	-0.09451
0.750	86.000	0.00711	0.00780	0.00120	0.00120	0.33483	0.06680
0.750	99.000	0.00656	0.00752	0.00120	0.00120	0.63396	0.29504
0.070	17.000	0.39517	0.38132	0.00720	0.00720	3.69943	3.80268
0.070	19.000	0.38663	0.38355	0.00640	0.00640	0.23179	-0.04710
0.100	19.000	0.36425	0.35964	0.00480	0.00480	0.92165	0.16853
0.100	21.500	0.37191	0.36059	0.00400	0.00400	8.01036	4.13852
0.100	24.500	0.36414	0.36153	0.00430	0.00430	0.36842	-0.12014
0.140	21.500	0.33812	0.33227	0.00440	0.00440	1.76757	0.10253
0.140	24.500	0.34444	0.33201	0.00460	0.00460	7.29930	4.32325
0.140	28.000	0.33278	0.33171	0.00430	0.00430	0.06163	-0.08758
0.140	32.500	0.32780	0.33134	0.00430	0.00430	0.67655	1.01182
0.180	21.500	0.30303	0.30483	0.00490	0.00490	0.13487	0.48449
0.180	24.500	0.30320	0.30381	0.00500	0.00500	0.01507	0.09760
0.180	28.000	0.30764	0.30276	0.00470	0.00470	1.07992	0.55166
0.180	32.500	0.30751	0.30155	0.00370	0.00370	2.59157	1.37971
0.180	37.500	0.29877	0.30038	0.00380	0.00380	0.17951	-0.01162
0.180	43.000	0.29948	0.29924	0.00380	0.00380	0.00393	0.00654
0.225	28.000	0.27651	0.27013	0.00440	0.00440	2.10298	2.34458
0.225	32.500	0.26586	0.26832	0.00420	0.00420	0.34319	0.56679
0.225	37.500	0.26808	0.26658	0.00340	0.00340	0.19357	0.36371
0.225	43.000	0.26686	0.26493	0.00330	0.00330	0.34335	0.20388
0.225	49.500	0.25931	0.26323	0.00340	0.00340	1.32608	1.88957
0.225	57.000	0.24941	0.26153	0.00440	0.00440	7.58362	7.18399
0.275	28.000	0.24560	0.23354	0.00460	0.00460	6.86875	6.48990
0.275	32.500	0.23751	0.23133	0.00430	0.00430	2.06535	2.74347
0.275	37.500	0.22324	0.22922	0.00330	0.00330	3.28800	2.41689
0.275	43.000	0.22426	0.22723	0.00320	0.00320	0.86081	0.15882
0.275	49.500	0.22357	0.22520	0.00330	0.00330	0.24360	0.23092
0.275	57.000	0.21954	0.22319	0.00350	0.00350	1.08608	0.72081
0.275	65.500	0.22581	0.22123	0.00460	0.00460	0.99130	1.03157
0.275	75.000	0.21139	0.21935	0.00470	0.00470	2.86584	3.33188
0.350	32.500	0.18002	0.17717	0.00300	0.00300	0.90242	2.00506
0.350	37.500	0.17061	0.17487	0.00220	0.00220	3.75733	1.82669
0.350	43.000	0.17128	0.17272	0.00220	0.00220	0.42812	0.02787
0.350	49.500	0.16784	0.17054	0.00220	0.00220	1.51173	0.44900
0.350	57.000	0.16677	0.16841	0.00230	0.00230	0.50768	0.19145
0.350	65.500	0.16136	0.16635	0.00240	0.00240	4.31657	1.49029
0.350	75.000	0.16098	0.16438	0.00300	0.00300	1.28205	0.35568
0.350	86.000	0.16179	0.16243	0.00320	0.00320	0.03958	-0.00900
0.350	99.000	0.15136	0.16046	0.00340	0.00340	7.16697	5.76371
0.450	32.500	0.10628	0.11267	0.00270	0.00270	5.59284	1.89982
0.450	37.500	0.10404	0.11059	0.00290	0.00290	5.09702	1.65789
0.450	43.000	0.10582	0.10866	0.00190	0.00190	2.23296	-0.64636
0.450	49.500	0.10359	0.10673	0.00190	0.00190	2.73986	-0.63409
0.450	57.000	0.10345	0.10486	0.00200	0.00200	0.50035	-1.03311
0.450	65.500	0.10068	0.10308	0.00210	0.00210	1.30290	0.04626
0.450	75.000	0.09958	0.10139	0.00260	0.00260	0.48246	-0.25667
0.450	86.000	0.09540	0.09973	0.00260	0.00260	2.76871	1.80528
0.450	99.000	0.09126	0.09807	0.00270	0.00270	6.35941	4.04945
0.450	115.500	0.09271	0.09631	0.00270	0.00270	1.77735	0.85467
0.550	32.500	0.05387	0.06265	0.00190	0.00190	21.36277	10.95462
0.550	37.500	0.05323	0.06108	0.00210	0.00210	13.96675	7.28078
0.550	43.000	0.05352	0.05964	0.00130	0.00130	22.15741	7.94226
0.550	49.500	0.05289	0.05822	0.00140	0.00140	14.50875	5.62730
0.550	57.000	0.05382	0.05686	0.00150	0.00150	4.11642	-0.52990
0.550	65.500	0.05231	0.05558	0.00150	0.00150	4.75132	-0.07680
0.550	75.000	0.05231	0.05438	0.00170	0.00170	1.48074	-0.74189
0.550	86.000	0.04929	0.05321	0.00200	0.00200	3.84580	1.66323
0.550	99.000	0.05107	0.05206	0.00210	0.00210	0.22170	-0.32734
0.550	115.500	0.05010	0.05085	0.00220	0.00220	0.11519	-0.23671
0.550	137.500	0.04591	0.04954	0.00210	0.00210	2.98106	1.68150
0.650	32.500	0.02539	0.02925	0.00120	0.00120	10.33948	0.79076
0.650	37.500	0.02533	0.02824	0.00130	0.00130	5.02725	0.16301
0.650	43.000	0.02318	0.02734	0.00070	0.00070	35.39709	14.95538
0.650	49.500	0.02471	0.02647	0.00080	0.00080	4.86367	-1.43685
0.650	57.000	0.02321	0.02565	0.00090	0.00090	7.37056	1.07554
0.650	65.500	0.02272	0.02489	0.00090	0.00090	5.81575	0.35196
0.650	75.000	0.02199	0.02419	0.00100	0.00100	4.82701	0.33837
0.650	86.000	0.02057	0.02351	0.00120	0.00120	6.01520	2.44299
0.650	99.000	0.02150	0.02286	0.00140	0.00140	0.93730	-0.11484
0.650	115.500	0.02005	0.02217	0.00140	0.00140	2.29976	0.79251
0.650	137.500	0.01954	0.02145	0.00150	0.00150	1.61292	0.53104
0.750	43.000	0.00935	0.00960	0.00050	0.00050	0.24805	-1.21369
0.750	49.500	0.00936	0.00917	0.00050	0.00050	0.13844	1.08206
0.750	57.000	0.00831	0.00878	0.00050	0.00050	0.89350	-0.78490
0.750	65.500	0.00765	0.00843	0.00060	0.00060	1.67723	0.16163
0.750	75.000	0.00804	0.00811	0.00060	0.00060	0.01210	-0.09201
0.750	86.000	0.00721	0.00780	0.00060	0.00060	0.98134	0.13815
0.750	99.000	0.00859	0.00752	0.00080	0.00080	1.80411	2.73836
0.750	115.500	0.00675	0.00722	0.00070	0.00070	0.45321	0.05976
0.750	137.500	0.00664	0.00691	0.00080	0.00080	0.11666	-0.07202
0.100	32.500	0.37969	0.36337	0.00760	0.00760	4.60981	2.53982
0.100	37.500	0.37547	0.36420	0.00840	0.00840	1.79958	1.36219
0.140	37.500	0.33370	0.33093	0.00840	0.00840	0.10837	-0.05315
0.140	43.000	0.33244	0.33051	0.00830	0.00830	0.05387	-0.05320
0.140	49.500	0.33497	0.33004	0.00880	0.00880	0.31335	0.17572
0.140	57.000	0.32518	0.32954	0.01030	0.01030	0.17902	0.26530
0.180	37.500	0.30046	0.30038	0.00870	0.00870	0.00008	0.00002
0.180	43.000	0.31355	0.29924	0.00880	0.00880	2.64366	2.53165
0.180	49.500	0.31585	0.29806	0.00930	0.00930	3.66068	3.46661
0.180	57.000	0.29215	0.29686	0.00640	0.00640	0.54051	0.59595
0.180	65.500	0.29697	0.29566	0.00690	0.00690	0.03601	0.00834
0.225	37.500	0.25963	0.26658	0.00790	0.00790	0.77488	0.68012
0.225	43.000	0.26822	0.26493	0.00790	0.00790	0.17382	0.02357
0.225	49.500	0.27849	0.26323	0.00830	0.00830	3.38237	-0.76260
0.225	57.000	0.25793	0.26153	0.00590	0.00590	0.37166	0.36942
0.225	65.500	0.25211	0.25986	0.00600	0.00600	1.66881	1.38152
0.225	75.000	0.25361	0.25825	0.00650	0.00650	0.50875	0.31112
0.225	86.000	0.25124	0.25662	0.00710	0.00710	0.57513	0.51837
0.275	37.500	0.21193	0.22922	0.00800	0.00800	4.67308	4.29524
0.275	43.000	0.23198	0.22723	0.00820	0.00820	0.33570	0.34366
0.275	49.500	0.22207	0.22520	0.00820	0.00820	0.14558	0.03447
0.275	57.000	0.21255	0.22319	0.00570	0.00570	3.48283	2.27916
0.275	65.500	0.22518	0.22123	0.00630	0.00630	0.39310	0.39163
0.275	75.000	0.20527	0.21935	0.00620	0.00620	5.15475	5.15969
0.275	86.000	0.21299	0.21747	0.00660	0.00660	0.46031	0.30482
0.275	99.000	0.21647	0.21556	0.00870	0.00870	0.01090	0.04009
0.275	115.500	0.20187	0.21351	0.00930	0.00930	1.56546	1.12277
0.350	43.000	0.17518	0.17272	0.00590	0.00590	0.17392	0.54831
0.350	49.500	0.17219	0.17054	0.00580	0.00580	0.08044	0.24858
0.350	57.000	0.16241	0.16841	0.00400	0.00400	2.24910	0.63482
0.350	65.500	0.16573	0.16635	0.00420	0.00420	0.02153	-0.12192
0.350	75.000	0.15904	0.16438	0.00430	0.00430	1.54039	0.56253
0.350	86.000	0.15943	0.16243	0.00440	0.00440	0.46383	-0.19038
0.350	99.000	0.15372	0.16046	0.00460	0.00460	2.14827	0.92393
0.350	115.500	0.15870	0.15836	0.00580	0.00580	0.00346	0.03639
0.350	137.500	0.14921	0.15604	0.00590	0.00590	1.33964	0.74089
0.450	43.000	0.09555	0.10866	0.00520	0.00520	6.35543	2.76820
0.450	49.500	0.10071	0.10673	0.00520	0.00520	1.34247	-0.30201
