ID            : 5206
TypeExp       : DY
TypeTheo      : RSIG
TypeCurrent   : DUMMYALL
A1            : 184
A2            : 2
Z1            : 74
Z2            : 1
KinVar        : [X, Q2, RS ]

X	Q2	RS	data	theory	totError	totErrorUncor	chi2Naive	chi2Corr
0.396	24.400	38.760	0.92400	0.92108	0.02561	0.02561	0.01299	0.01299
0.361	33.600	38.760	0.95800	0.97516	0.02385	0.02385	0.51736	0.51736
0.331	43.300	38.760	1.01600	1.00508	0.02561	0.02561	0.18182	0.18182
0.304	50.700	38.760	1.00800	1.01632	0.02828	0.02828	0.08649	0.08649
0.288	58.800	38.760	0.95400	1.01760	0.03280	0.03280	3.75867	3.75867
0.279	67.400	38.760	1.06500	1.01174	0.04742	0.04742	1.26120	1.26120
0.274	76.600	38.760	1.01700	1.00028	0.06992	0.06992	0.05715	0.05715
0.366	118.800	38.760	1.04000	0.97928	0.10100	0.10100	0.36138	0.36138
0.425	171.600	38.760	1.00000	0.93225	0.19304	0.19304	0.12319	0.12319
