ID            : 5160
TypeExp       : DIS
TypeTheo      : F2
TypeCurrent   : NCGAMMA
A1            : 2
A2            : 0
Z1            : 1
Z2            : 0
KinVar        : [X, Q2 ]

X	Q2	data	theory	totError	totErrorUncor	chi2Naive	chi2Corr
0.036	4.270	0.35410	0.35588	0.02050	0.02050	0.00755	0.06439
0.051	4.390	0.35890	0.35348	0.00820	0.00820	0.43702	-0.20036
0.053	5.310	0.39570	0.36005	0.01980	0.01980	3.24180	2.27610
0.070	4.420	0.35790	0.35050	0.00700	0.00700	1.11644	0.67185
0.070	5.380	0.36540	0.35548	0.01220	0.01220	0.66097	0.33291
0.071	6.380	0.36410	0.35933	0.02530	0.02530	0.03554	-0.01743
0.090	4.440	0.35770	0.34670	0.00750	0.00750	2.14993	1.82899
0.090	5.440	0.38010	0.35008	0.01170	0.01170	6.58305	6.21537
0.090	6.500	0.35270	0.35308	0.01730	0.01730	0.00049	0.00420
0.110	4.450	0.33600	0.34158	0.00770	0.00770	0.52563	0.69351
0.111	5.440	0.33140	0.34351	0.01050	0.01050	1.33117	1.38868
0.110	6.600	0.33790	0.34568	0.01440	0.01440	0.29166	0.30941
0.139	4.450	0.32720	0.33144	0.00620	0.00620	0.46822	0.68739
0.140	5.460	0.34110	0.33215	0.00850	0.00850	1.10832	0.89690
0.141	6.690	0.33630	0.33227	0.00970	0.00970	0.17273	0.16163
0.180	4.460	0.31970	0.31373	0.00760	0.00760	0.61751	0.48335
0.181	5.460	0.30880	0.31294	0.00880	0.00880	0.22111	0.31627
0.180	6.770	0.32030	0.31237	0.00970	0.00970	0.66850	0.58343
0.177	8.500	0.30920	0.31302	0.02320	0.02320	0.02710	0.02990
0.226	4.470	0.28200	0.28964	0.00700	0.00700	1.19243	1.33541
0.226	5.470	0.29370	0.28792	0.00900	0.00900	0.41223	0.32528
0.227	6.810	0.27890	0.28508	0.00860	0.00860	0.51637	0.61521
0.221	8.640	0.28740	0.28648	0.01820	0.01820	0.00256	0.00025
