ID            : 5947
TypeExp       : DISNEU
TypeTheo      : SIG
TypeCurrent   : CCWP
A1            : 208
A2            : 0
Z1            : 82
Z2            : 0
KinVar        : [X, Q2, Y ]

X	Q2	Y	data	theory	totError	totErrorUncor	chi2Naive	chi2Corr
0.125	4.104	0.700	1.67600	1.67962	0.09865	0.03057	0.00135	-0.08095
0.175	4.104	0.500	1.68100	1.71678	0.08462	0.03045	0.17874	-0.17537
0.175	4.925	0.600	1.68600	1.69963	0.08467	0.03095	0.02590	-0.36746
0.175	5.745	0.700	1.61200	1.68302	0.09022	0.03042	0.61974	2.32252
0.225	4.221	0.400	1.60800	1.62620	0.06534	0.03012	0.07758	0.00774
0.225	5.276	0.500	1.60300	1.60600	0.06577	0.03043	0.00208	-0.04576
0.225	6.332	0.600	1.62500	1.58632	0.07374	0.03092	0.27509	2.44211
0.225	7.387	0.700	1.49800	1.56832	0.07325	0.02979	0.92159	2.83926
0.275	5.159	0.400	1.45700	1.45285	0.04678	0.02933	0.00786	-0.02802
0.275	6.449	0.500	1.46200	1.42946	0.04931	0.02954	0.43560	1.05549
0.275	7.739	0.600	1.44500	1.40834	0.05108	0.02955	0.51509	1.79144
0.275	9.028	0.700	1.39300	1.38962	0.04938	0.02929	0.00468	0.00131
0.350	6.566	0.400	1.18600	1.14100	0.04660	0.01909	0.93263	0.74302
0.350	8.207	0.500	1.15300	1.11551	0.03862	0.01883	0.94204	0.90988
0.350	9.849	0.600	1.12300	1.09397	0.03380	0.01866	0.73761	0.65059
0.450	10.553	0.500	0.75490	0.71004	0.04712	0.01553	0.90648	1.23945
0.450	12.663	0.600	0.76020	0.69072	0.04618	0.01587	2.26375	8.70313
0.125	4.104	0.500	1.77500	1.75838	0.09953	0.03806	0.02788	0.46372
0.125	4.925	0.600	1.78400	1.73964	0.10026	0.03780	0.19575	2.03816
0.125	5.745	0.700	1.61600	1.72082	0.11249	0.03535	0.86828	6.18873
0.175	4.596	0.400	1.73600	1.75445	0.07137	0.03871	0.06684	-0.04081
0.175	5.745	0.500	1.72600	1.73367	0.07350	0.03822	0.01089	-0.06493
0.175	6.894	0.600	1.67100	1.71252	0.08616	0.03725	0.23225	0.44419
0.175	8.043	0.700	1.67400	1.69295	0.09861	0.03670	0.03691	-0.13681
0.225	4.432	0.300	1.64000	1.64783	0.05679	0.03837	0.01903	-0.02059
0.225	5.909	0.400	1.56500	1.62348	0.05835	0.03741	1.00436	1.81430
0.225	7.387	0.500	1.59900	1.59916	0.06297	0.03759	0.00001	-0.00139
0.225	8.864	0.600	1.63800	1.57667	0.06748	0.03748	0.82599	3.06687
0.225	10.341	0.700	1.53200	1.55663	0.08820	0.03556	0.07797	-0.05692
0.275	5.417	0.300	1.46900	1.46243	0.05481	0.03697	0.01436	-0.05612
0.275	7.223	0.400	1.40400	1.43318	0.05032	0.03629	0.33627	1.12485
0.275	9.028	0.500	1.46700	1.40715	0.05240	0.03705	1.30449	1.91338
0.275	10.834	0.600	1.39000	1.38432	0.05475	0.03527	0.01077	0.02123
0.275	12.640	0.700	1.43300	1.36440	0.06764	0.03558	1.02849	3.72760
0.350	6.894	0.300	1.15300	1.14017	0.05049	0.02335	0.06452	-0.56276
0.350	9.192	0.400	1.14400	1.10791	0.04776	0.02351	0.57109	-0.23032
0.350	11.491	0.500	1.04200	1.08173	0.03703	0.02194	1.15097	4.72025
0.350	13.789	0.600	1.09900	1.05986	0.04612	0.02245	0.72018	0.63718
0.350	16.087	0.700	1.06400	1.04124	0.03661	0.02160	0.38644	0.06722
0.450	11.819	0.400	0.71620	0.69828	0.05121	0.01856	0.12240	-1.07742
0.450	14.774	0.500	0.72120	0.67533	0.04440	0.01869	1.06741	1.06796
0.450	17.728	0.600	0.70550	0.65701	0.04040	0.01841	1.44054	1.60373
0.550	14.445	0.400	0.40990	0.38260	0.04798	0.01387	0.32378	-0.54485
0.550	18.056	0.500	0.38870	0.36539	0.04265	0.01350	0.29857	-0.55614
0.550	21.668	0.600	0.37880	0.35231	0.03977	0.01334	0.44371	-0.23951
0.650	21.340	0.500	0.18280	0.16608	0.02908	0.00852	0.33036	1.36483
0.650	25.607	0.600	0.16380	0.15821	0.02091	0.00828	0.07140	-0.37508
0.080	4.052	0.600	1.71900	1.65410	0.11347	0.05072	0.32717	1.87028
0.080	4.728	0.700	1.63900	1.63083	0.11724	0.04873	0.00486	0.06670
0.080	5.403	0.800	1.62000	1.60942	0.14918	0.04909	0.00503	0.14868
0.125	4.221	0.400	1.77100	1.80943	0.08212	0.04947	0.21900	0.42988
0.125	5.276	0.500	1.79500	1.78975	0.08737	0.04880	0.00362	0.04390
0.125	6.332	0.600	1.68500	1.76752	0.11045	0.04565	0.55821	1.78019
0.125	7.387	0.700	1.69200	1.74614	0.10852	0.04509	0.24885	0.94247
0.125	8.442	0.800	1.65700	1.72743	0.15003	0.04471	0.22035	0.45694
0.175	4.432	0.300	1.81600	1.78728	0.06697	0.05158	0.18394	0.25867
0.175	5.909	0.400	1.80600	1.76569	0.07021	0.05126	0.32963	0.76309
0.175	7.387	0.500	1.76000	1.74128	0.07581	0.04939	0.06096	0.26429
0.175	8.864	0.600	1.68600	1.71759	0.08635	0.04694	0.13381	0.09095
0.175	10.341	0.700	1.59200	1.69613	0.10382	0.04463	1.00597	4.32309
0.175	11.819	0.800	1.69800	1.67766	0.11745	0.04638	0.03000	0.38529
0.225	5.698	0.300	1.55600	1.64569	0.06538	0.04838	1.88184	3.27070
0.225	7.598	0.400	1.62400	1.61738	0.06244	0.04922	0.01123	0.00058
0.225	9.497	0.500	1.60000	1.59060	0.06357	0.04770	0.02186	0.02092
0.225	11.397	0.600	1.53000	1.56643	0.07009	0.04561	0.27016	0.59494
0.225	13.296	0.700	1.46200	1.54516	0.07676	0.04327	1.17370	2.52840
0.225	15.196	0.800	1.46900	1.52684	0.11609	0.04348	0.24828	0.23434
0.275	4.643	0.200	1.47900	1.48363	0.06937	0.04682	0.00445	0.04444
0.275	6.965	0.300	1.59800	1.44781	0.07849	0.05073	3.66092	5.77721
