ID            : 5106
TypeExp       : DIS
TypeTheo      : RF2
TypeCurrent   : NCGAMMA
A1            : 64
A2            : 2
Z1            : 32
Z2            : 1
KinVar        : [X, Q2 ]

X	Q2	data	theory	totError	totErrorUncor	chi2Naive	chi2Corr
0.031	4.400	0.94000	0.94908	0.03573	0.03573	0.06463	0.06463
0.050	8.400	0.96300	0.99163	0.03027	0.03027	0.89458	0.89458
0.079	13.500	0.99700	1.02377	0.02703	0.02703	0.98093	0.98093
0.123	17.900	1.04200	1.03837	0.02846	0.02846	0.01625	0.01625
0.173	21.100	1.01800	1.03390	0.03121	0.03121	0.25975	0.25975
0.244	24.400	1.03800	1.01187	0.03046	0.03046	0.73591	0.73591
0.342	29.500	0.94500	0.97292	0.03518	0.03518	0.63011	0.63011
0.443	34.000	0.95700	0.93341	0.05051	0.05051	0.21807	0.21807
0.573	40.400	0.89700	0.88689	0.06411	0.06411	0.02489	0.02489
