ID            : 105
TypeExp       : DIS
TypeTheo      : F2
TypeCurrent   : NCGAMMA
A1            : 1
A2            : 0
Z1            : 1
Z2            : 0
KinVar        : [X, Q2 ]

X	Q2	data	theory	totError	totErrorUncor	chi2Naive	chi2Corr
0.070	7.500	0.40205	0.39048	0.00620	0.00620	3.48022	2.59676
0.070	8.750	0.39363	0.39424	0.00550	0.00550	0.01211	0.15363
0.100	7.500	0.38468	0.38191	0.00430	0.00430	0.41541	-0.72717
0.100	8.750	0.38926	0.38383	0.00360	0.00360	2.27817	-0.87171
0.100	10.250	0.38772	0.38568	0.00370	0.00370	0.30358	-0.73472
0.140	8.750	0.37768	0.36933	0.00390	0.00390	4.58669	0.10684
0.140	10.250	0.37965	0.36968	0.00400	0.00400	6.21498	0.68335
0.140	11.750	0.37641	0.36989	0.00430	0.00430	2.29914	-0.49942
0.140	13.250	0.37062	0.37002	0.00470	0.00470	0.01650	-0.16104
0.140	15.000	0.37847	0.37009	0.00490	0.00490	2.92230	0.42966
0.180	8.750	0.36886	0.35319	0.00490	0.00490	10.22497	5.54346
0.180	10.250	0.36592	0.35248	0.00480	0.00480	7.84085	3.41979
0.180	11.750	0.36670	0.35177	0.00500	0.00500	8.91465	4.18480
0.180	13.250	0.36497	0.35109	0.00540	0.00540	6.60793	2.62059
0.180	15.000	0.36523	0.35033	0.00530	0.00530	7.89908	4.33211
0.180	17.000	0.35727	0.34953	0.00580	0.00580	1.78160	0.74112
0.225	10.250	0.34120	0.32964	0.00480	0.00480	5.79795	2.08583
0.225	11.750	0.34635	0.32812	0.00500	0.00500	13.30030	8.29279
0.225	13.250	0.33805	0.32672	0.00520	0.00520	4.74793	2.00068
0.225	15.000	0.33659	0.32524	0.00490	0.00490	5.36861	2.56484
0.225	17.000	0.32138	0.32371	0.00520	0.00520	0.20020	0.64850
0.225	19.000	0.32395	0.32232	0.00580	0.00580	0.07855	-0.20305
0.225	21.500	0.31436	0.32077	0.00560	0.00560	1.31194	2.41144
0.225	24.500	0.32498	0.31913	0.00530	0.00530	1.21876	0.71945
0.225	28.000	0.31917	0.31742	0.00540	0.00540	0.10527	-0.10438
0.275	10.250	0.30476	0.29907	0.00540	0.00540	1.10892	0.69603
0.275	11.750	0.29971	0.29684	0.00550	0.00550	0.27260	-0.10212
0.275	13.250	0.30213	0.29483	0.00580	0.00580	1.58218	0.63073
0.275	15.000	0.30414	0.29274	0.00530	0.00530	4.62674	3.06470
0.275	17.000	0.30467	0.29061	0.00570	0.00570	6.08496	4.29918
0.275	19.000	0.29035	0.28871	0.00590	0.00590	0.07740	-0.06566
0.275	21.500	0.29911	0.28661	0.00560	0.00560	4.98446	3.52641
0.275	24.500	0.28068	0.28440	0.00500	0.00500	0.55388	0.89918
0.275	28.000	0.29223	0.28215	0.00510	0.00510	3.90820	2.56911
0.275	32.500	0.28428	0.27964	0.00480	0.00480	0.93425	0.54153
0.275	37.500	0.27224	0.27725	0.00590	0.00590	0.71983	0.95359
0.350	11.750	0.24021	0.24231	0.00430	0.00430	0.23883	0.15852
0.350	13.250	0.23373	0.23973	0.00430	0.00430	1.94888	1.92806
0.350	15.000	0.23122	0.23708	0.00380	0.00380	2.37787	2.51896
0.350	17.000	0.23727	0.23442	0.00410	0.00410	0.48305	0.35105
0.350	19.000	0.22300	0.23208	0.00420	0.00420	4.67137	5.15001
0.350	21.500	0.23275	0.22952	0.00390	0.00390	0.68384	0.39025
0.350	24.500	0.22389	0.22688	0.00280	0.00280	1.14225	1.32594
0.350	28.000	0.22548	0.22421	0.00350	0.00350	0.13102	0.14688
0.350	32.500	0.22042	0.22128	0.00320	0.00320	0.07162	0.15741
0.350	37.500	0.21929	0.21850	0.00350	0.00350	0.05065	0.02263
0.350	43.000	0.21644	0.21589	0.00370	0.00370	0.02182	-0.00303
0.450	11.750	0.16027	0.16609	0.00410	0.00410	2.01261	0.89271
0.450	13.250	0.15606	0.16332	0.00430	0.00430	2.85100	1.48164
0.450	15.000	0.15503	0.16053	0.00380	0.00380	2.09473	0.80055
0.450	17.000	0.15335	0.15778	0.00400	0.00400	1.22857	0.65913
0.450	19.000	0.15573	0.15540	0.00430	0.00430	0.00578	0.01923
0.450	21.500	0.14488	0.15285	0.00360	0.00360	4.90340	3.83438
0.450	24.500	0.14465	0.15025	0.00260	0.00260	4.64559	3.55963
0.450	28.000	0.14024	0.14767	0.00310	0.00310	5.73919	4.59378
0.450	32.500	0.14370	0.14486	0.00280	0.00280	0.17161	-0.01341
0.450	37.500	0.14557	0.14224	0.00310	0.00310	1.15059	1.43305
0.450	43.000	0.14129	0.13982	0.00310	0.00310	0.22626	0.38639
0.450	49.500	0.13463	0.13739	0.00310	0.00310	0.79163	0.57494
0.450	57.000	0.13718	0.13503	0.00360	0.00360	0.35780	0.39281
0.550	15.000	0.09002	0.09559	0.00310	0.00310	3.22779	0.59501
0.550	17.000	0.08473	0.09323	0.00310	0.00310	7.51033	4.07399
0.550	19.000	0.08291	0.09121	0.00320	0.00320	6.73362	4.07720
0.550	21.500	0.08285	0.08909	0.00290	0.00290	4.63692	2.45471
0.550	24.500	0.08520	0.08697	0.00210	0.00210	0.71433	-0.27626
0.550	28.000	0.08108	0.08490	0.00200	0.00200	3.64546	1.96415
0.550	32.500	0.08528	0.08268	0.00240	0.00240	1.17022	1.97513
0.550	37.500	0.08115	0.08065	0.00250	0.00250	0.03953	0.16561
0.550	43.000	0.08024	0.07879	0.00250	0.00250	0.33486	0.63063
0.550	49.500	0.07715	0.07696	0.00250	0.00250	0.00578	0.03569
0.550	57.000	0.07418	0.07520	0.00270	0.00270	0.14229	0.01024
0.550	65.500	0.07237	0.07353	0.00290	0.00290	0.16088	0.06520
0.650	21.500	0.04012	0.04430	0.00180	0.00180	5.39325	2.44373
0.650	24.500	0.04117	0.04281	0.00120	0.00120	1.86475	-0.99637
0.650	28.000	0.03871	0.04138	0.00120	0.00120	4.94835	1.21190
0.650	32.500	0.03829	0.03989	0.00140	0.00140	1.30253	-0.08455
0.650	37.500	0.03666	0.03855	0.00160	0.00160	1.39398	0.30348
0.650	43.000	0.03529	0.03735	0.00170	0.00170	1.46335	0.59935
0.650	49.500	0.03309	0.03618	0.00170	0.00170	3.30747	2.28338
0.650	57.000	0.03371	0.03508	0.00180	0.00180	0.58051	0.21924
0.650	65.500	0.02989	0.03406	0.00190	0.00190	4.81091	4.09255
0.650	75.000	0.03206	0.03311	0.00220	0.00220	0.22873	0.09962
0.750	37.500	0.01170	0.01427	0.00070	0.00070	13.52961	8.38070
0.750	43.000	0.01106	0.01365	0.00080	0.00080	10.45429	7.35773
0.750	49.500	0.01083	0.01305	0.00080	0.00080	7.72342	5.52805
0.750	57.000	0.01149	0.01251	0.00100	0.00100	1.03239	0.38458
0.750	65.500	0.00968	0.01201	0.00100	0.00100	5.41993	4.39427
0.750	75.000	0.01033	0.01156	0.00120	0.00120	1.04688	0.70962
0.070	8.750	0.38956	0.39424	0.00600	0.00600	0.60715	1.06656
0.070	10.250	0.38982	0.39799	0.00620	0.00620	1.73436	2.85436
0.100	10.250	0.39249	0.38568	0.00460	0.00460	2.19080	-0.02209
0.100	11.750	0.39066	0.38720	0.00490	0.00490	0.49873	-0.53789
0.100	13.250	0.39239	0.38848	0.00530	0.00530	0.54536	-0.29204
0.140	11.750	0.38505	0.36989	0.00570	0.00570	7.07378	3.19297
0.140	13.250	0.37936	0.37002	0.00590	0.00590	2.50804	0.26159
0.140	15.000	0.37987	0.37009	0.00570	0.00570	2.94178	0.73499
0.140	17.000	0.37759	0.37012	0.00640	0.00640	1.36215	0.24589
0.140	19.000	0.36935	0.37010	0.00700	0.00700	0.01162	0.09371
0.180	11.750	0.36127	0.35177	0.00690	0.00690	1.89510	0.39597
0.180	13.250	0.35757	0.35109	0.00690	0.00690	0.88229	-0.08257
0.180	15.000	0.34979	0.35033	0.00650	0.00650	0.00701	0.09839
0.180	17.000	0.35267	0.34953	0.00700	0.00700	0.20143	-0.21501
0.180	19.000	0.34847	0.34878	0.00750	0.00750	0.00171	0.03455
0.180	21.500	0.36087	0.34791	0.00700	0.00700	3.42588	1.87902
0.180	24.500	0.33792	0.34696	0.00810	0.00810	1.24627	1.91846
0.225	11.750	0.32331	0.32812	0.00660	0.00660	0.53008	1.39870
0.225	13.250	0.34116	0.32672	0.00700	0.00700	4.25577	2.08405
0.225	15.000	0.32619	0.32524	0.00630	0.00630	0.02290	-0.12906
0.225	17.000	0.33525	0.32371	0.00680	0.00680	2.88166	1.33295
0.225	19.000	0.31776	0.32232	0.00710	0.00710	0.41330	0.87973
0.225	21.500	0.32585	0.32077	0.00650	0.00650	0.60978	-0.05963
0.225	24.500	0.31622	0.31913	0.00710	0.00710	0.16786	0.44745
0.225	28.000	0.31632	0.31742	0.00600	0.00600	0.03348	0.13895
0.225	32.500	0.32366	0.31550	0.00590	0.00590	1.91292	1.15092
0.275	13.250	0.30080	0.29483	0.00790	0.00790	0.57022	-0.03853
0.275	15.000	0.31145	0.29274	0.00730	0.00730	6.56920	4.10636
0.275	17.000	0.29635	0.29061	0.00720	0.00720	0.63570	0.10370
0.275	19.000	0.29636	0.28871	0.00760	0.00760	1.01357	0.27244
0.275	21.500	0.29332	0.28661	0.00680	0.00680	0.97443	0.41595
0.275	24.500	0.28738	0.28440	0.00490	0.00490	0.36958	-0.08939
0.275	28.000	0.28549	0.28215	0.00470	0.00470	0.50570	0.14167
0.275	32.500	0.28478	0.27964	0.00480	0.00480	1.14647	0.50331
0.275	37.500	0.28665	0.27725	0.00620	0.00620	2.30074	1.75729
0.275	43.000	0.27188	0.27497	0.00620	0.00620	0.24846	0.45672
0.350	13.250	0.23713	0.23973	0.00600	0.00600	0.18820	0.41214
0.350	15.000	0.23446	0.23708	0.00550	0.00550	0.22688	0.49209
0.350	17.000	0.23473	0.23442	0.00530	0.00530	0.00341	-0.01888
0.350	19.000	0.22939	0.23208	0.00550	0.00550	0.23879	0.46875
0.350	21.500	0.22173	0.22952	0.00470	0.00470	2.75059	3.14649
0.350	24.500	0.23176	0.22688	0.00350	0.00350	1.94201	1.16939
0.350	28.000	0.22638	0.22421	0.00330	0.00330	0.43117	0.09406
0.350	32.500	0.22116	0.22128	0.00320	0.00320	0.00132	0.01221
0.350	37.500	0.22210	0.21850	0.00420	0.00420	0.73374	0.60346
0.350	43.000	0.21858	0.21589	0.00420	0.00420	0.40916	0.19503
