ID            : 5103
TypeExp       : DIS
TypeTheo      : RF2
TypeCurrent   : NCGAMMA
A1            : 14
A2            : 2
Z1            : 7
Z2            : 1
KinVar        : [X, Q2 ]

X	Q2	data	theory	totError	totErrorUncor	chi2Naive	chi2Corr
0.100	33.000	1.01800	1.02750	0.03326	0.03326	0.08162	0.08162
0.140	42.500	1.01800	1.02943	0.02782	0.02782	0.16888	0.16888
0.180	55.000	1.00200	1.02417	0.02306	0.02306	0.92429	0.92429
0.225	68.000	1.03500	1.01365	0.02405	0.02405	0.78815	0.78815
0.275	68.000	1.02400	0.99951	0.02531	0.02531	0.93580	0.93580
0.350	90.000	0.98300	0.97604	0.02354	0.02354	0.08742	0.08742
0.450	115.000	0.94100	0.94477	0.02721	0.02721	0.01924	0.01924
0.550	117.500	0.89100	0.91516	0.03698	0.03698	0.42698	0.42698
0.650	123.000	0.82600	0.88812	0.05483	0.05483	1.28353	1.28353
