ID            : 5119
TypeExp       : DIS
TypeTheo      : RF2
TypeCurrent   : NCGAMMA
A1            : 40
A2            : 12
Z1            : 20
Z2            : 6
KinVar        : [X, Q2, Y ]

X	Q2	Y	data	theory	totError	totErrorUncor	chi2Naive	chi2Corr
0.018	4.500	0.690	0.93900	0.96406	0.02735	0.02735	0.83954	0.83954
0.025	6.000	0.660	0.97100	0.97593	0.01515	0.01515	0.10579	0.10579
0.035	7.900	0.620	0.97000	0.98618	0.01583	0.01583	1.04452	1.04452
0.045	9.700	0.590	0.99400	0.99313	0.01729	0.01729	0.00254	0.00254
0.055	11.400	0.570	1.00400	0.99810	0.02102	0.02102	0.07865	0.07865
0.070	13.800	0.540	0.99400	1.00320	0.01378	0.01378	0.44533	0.44533
0.090	16.700	0.510	1.01800	1.00715	0.01996	0.01996	0.29555	0.29555
0.125	21.200	0.470	1.00300	1.00956	0.01105	0.01105	0.35300	0.35300
0.175	27.400	0.430	1.01900	1.00810	0.01531	0.01531	0.50762	0.50762
0.250	35.300	0.390	1.01300	1.00185	0.01453	0.01453	0.58818	0.58818
0.350	45.300	0.360	1.02000	0.99261	0.02932	0.02932	0.87265	0.87265
0.450	53.600	0.330	0.96400	0.98465	0.03853	0.03853	0.28738	0.28738
0.550	60.300	0.300	0.96800	0.97793	0.06461	0.06461	0.02364	0.02364
0.700	66.400	0.260	0.92000	0.96921	0.10025	0.10025	0.24091	0.24091
