ID            : 5948
TypeExp       : DISNEU
TypeTheo      : SIG
TypeCurrent   : CCWM
A1            : 56
A2            : 0
Z1            : 26
Z2            : 0
KinVar        : [X, Q2, Y ]

X	Q2	Y	data	theory	totError	totErrorUncor	chi2Naive	chi2Corr
0.175	4.976	0.659	0.41200	0.42040	0.03267	0.03267	0.06605	0.06605
0.225	4.922	0.507	0.51100	0.51488	0.04727	0.04727	0.00675	0.00675
0.225	6.398	0.659	0.31500	0.32402	0.03472	0.03472	0.06743	0.06743
0.275	4.645	0.392	0.60600	0.59390	0.04798	0.04798	0.06363	0.06363
0.275	6.016	0.507	0.39300	0.41792	0.03327	0.03327	0.56113	0.56113
0.275	7.819	0.659	0.23500	0.24554	0.02382	0.02382	0.19575	0.19575
0.350	7.657	0.507	0.29600	0.29575	0.02524	0.02524	0.00010	0.00010
0.350	9.952	0.659	0.15900	0.15878	0.01830	0.01830	0.00015	0.00015
0.450	9.844	0.507	0.19200	0.17384	0.01576	0.01576	1.32768	1.32768
0.450	12.796	0.659	0.09400	0.08499	0.01021	0.01021	0.77905	0.77905
0.550	15.639	0.659	0.03900	0.04191	0.00594	0.00594	0.24048	0.24048
0.125	4.621	0.659	0.57600	0.54138	0.05413	0.05413	0.40895	0.40895
0.175	4.977	0.507	0.62500	0.62837	0.04777	0.04777	0.00498	0.00498
0.175	6.469	0.659	0.42900	0.42694	0.03363	0.03363	0.00375	0.00375
0.225	4.941	0.392	0.65900	0.70708	0.06754	0.06754	0.50682	0.50682
0.225	6.399	0.507	0.53300	0.51620	0.04818	0.04818	0.12154	0.12154
0.225	8.317	0.659	0.36000	0.32612	0.03570	0.03570	0.90077	0.90077
0.275	4.628	0.300	0.74100	0.75776	0.06529	0.06529	0.06590	0.06590
0.275	6.039	0.392	0.55900	0.59005	0.04751	0.04751	0.42723	0.42723
0.275	7.821	0.507	0.42900	0.41565	0.03406	0.03406	0.15354	0.15354
0.275	10.165	0.659	0.25900	0.24530	0.02441	0.02441	0.31497	0.31497
0.350	7.686	0.392	0.41800	0.43144	0.03533	0.03533	0.14480	0.14480
0.350	9.954	0.507	0.28700	0.29092	0.02516	0.02516	0.02431	0.02431
0.350	12.938	0.659	0.16900	0.15701	0.01867	0.01867	0.41260	0.41260
0.450	9.882	0.392	0.24500	0.26115	0.02217	0.02217	0.53103	0.53103
0.450	12.797	0.507	0.17900	0.16848	0.01563	0.01563	0.45252	0.45252
0.450	16.634	0.659	0.08000	0.08294	0.01011	0.01011	0.08454	0.08454
0.550	15.641	0.507	0.08900	0.08736	0.00977	0.00977	0.02809	0.02809
0.550	20.331	0.659	0.04700	0.04031	0.00598	0.00598	1.24975	1.24975
0.650	24.027	0.659	0.02300	0.01699	0.00367	0.00367	2.68639	2.68639
0.125	4.625	0.507	0.73000	0.75616	0.05803	0.05803	0.20324	0.20324
0.125	6.011	0.659	0.63000	0.55492	0.04534	0.04534	2.74190	2.74190
0.175	5.000	0.392	0.84300	0.83343	0.06014	0.06014	0.02533	0.02533
0.175	6.475	0.507	0.63600	0.63449	0.04393	0.04393	0.00118	0.00118
0.175	8.416	0.659	0.47500	0.43244	0.03266	0.03266	1.69867	1.69867
0.225	4.926	0.300	0.84500	0.88695	0.07301	0.07301	0.33015	0.33015
0.225	6.428	0.392	0.69400	0.70689	0.05557	0.05557	0.05382	0.05382
0.225	8.325	0.507	0.53500	0.51646	0.04232	0.04232	0.19187	0.19187
0.225	10.821	0.659	0.37100	0.32743	0.03222	0.03222	1.82880	1.82880
0.275	4.636	0.231	0.86300	0.89619	0.06610	0.06610	0.25222	0.25222
0.275	6.021	0.300	0.75000	0.75165	0.05260	0.05260	0.00099	0.00099
0.275	7.857	0.392	0.58500	0.58513	0.04008	0.04008	0.00001	0.00001
0.275	10.175	0.507	0.39200	0.41264	0.02926	0.02926	0.49760	0.49760
0.275	13.225	0.659	0.25900	0.24445	0.02133	0.02133	0.46530	0.46530
0.350	7.663	0.300	0.56200	0.55926	0.04010	0.04010	0.00466	0.00466
0.350	10.000	0.392	0.43600	0.42307	0.02817	0.02817	0.21068	0.21068
0.350	12.950	0.507	0.29600	0.28574	0.01846	0.01846	0.30909	0.30909
0.350	16.832	0.659	0.18300	0.15493	0.01255	0.01255	5.00180	5.00180
0.450	9.852	0.300	0.32500	0.34365	0.02561	0.02561	0.53047	0.53047
0.450	12.857	0.392	0.24900	0.25222	0.01862	0.01862	0.02984	0.02984
0.450	16.650	0.507	0.15400	0.16317	0.01222	0.01222	0.56240	0.56240
0.450	21.641	0.659	0.09600	0.08083	0.00828	0.00828	3.35770	3.35770
0.550	15.714	0.392	0.12900	0.13300	0.01608	0.01608	0.06175	0.06175
0.550	20.349	0.507	0.08800	0.08327	0.00896	0.00896	0.27801	0.27801
0.550	26.450	0.659	0.04900	0.03878	0.00583	0.00583	3.07506	3.07506
0.650	24.049	0.507	0.04400	0.03609	0.00580	0.00580	1.86206	1.86206
0.650	31.259	0.659	0.02200	0.01606	0.00290	0.00290	4.19676	4.19676
0.080	4.995	0.659	0.82000	0.67973	0.06396	0.06396	4.80999	4.80999
0.125	4.636	0.392	1.04500	0.96567	0.08171	0.08171	0.94270	0.94270
0.125	6.004	0.507	0.82200	0.77061	0.06027	0.06027	0.72706	0.72706
0.125	7.804	0.659	0.60700	0.56693	0.04633	0.04633	0.74796	0.74796
0.175	4.974	0.300	0.98000	1.02440	0.08108	0.08108	0.29991	0.29991
0.175	6.491	0.392	0.82800	0.83915	0.06090	0.06090	0.03351	0.03351
0.175	8.406	0.507	0.68100	0.63910	0.04596	0.04596	0.83088	0.83088
0.175	10.926	0.659	0.48600	0.43668	0.03381	0.03381	2.12771	2.12771
0.225	4.924	0.231	0.96800	1.03874	0.09195	0.09195	0.59192	0.59192
0.225	6.395	0.300	0.77500	0.88537	0.07367	0.07367	2.24497	2.24497
0.225	8.345	0.392	0.67900	0.70530	0.05759	0.05759	0.20849	0.20849
0.225	10.807	0.507	0.53100	0.51564	0.04357	0.04357	0.12428	0.12428
0.225	14.047	0.659	0.33200	0.32783	0.03316	0.03316	0.01583	0.01583
0.275	4.624	0.177	0.94500	1.01249	0.08049	0.08049	0.70293	0.70293
0.275	6.018	0.231	0.84900	0.88819	0.06792	0.06792	0.33297	0.33297
0.275	7.816	0.300	0.65000	0.74428	0.05205	0.05205	3.28105	3.28105
0.275	10.200	0.392	0.56700	0.57931	0.04159	0.04159	0.08766	0.08766
0.275	13.209	0.507	0.42200	0.40889	0.03018	0.03018	0.18878	0.18878
0.275	17.169	0.659	0.25200	0.24301	0.02184	0.02184	0.16935	0.16935
0.350	7.660	0.231	0.62400	0.66737	0.05076	0.05076	0.73007	0.73007
0.350	9.947	0.300	0.53800	0.54761	0.03949	0.03949	0.05916	0.05916
0.350	12.981	0.392	0.39300	0.41443	0.02816	0.02816	0.57918	0.57918
0.350	16.811	0.507	0.26900	0.28029	0.01869	0.01869	0.36493	0.36493
0.350	21.851	0.659	0.15500	0.15260	0.01224	0.01224	0.03847	0.03847
0.450	9.848	0.231	0.42100	0.41347	0.03515	0.03515	0.04585	0.04585
0.450	12.790	0.300	0.31400	0.33139	0.02602	0.02602	0.44665	0.44665
0.450	16.690	0.392	0.23100	0.24361	0.01900	0.01900	0.44027	0.44027
0.450	21.614	0.507	0.15000	0.15801	0.01279	0.01279	0.39236	0.39236
0.450	28.095	0.659	0.07900	0.07871	0.00813	0.00813	0.00127	0.00127
0.550	15.632	0.300	0.16300	0.17626	0.02461	0.02461	0.29046	0.29046
0.550	20.399	0.392	0.11400	0.12642	0.01599	0.01599	0.60283	0.60283
0.550	26.418	0.507	0.08300	0.07956	0.00952	0.00952	0.13087	0.13087
0.550	34.338	0.659	0.04200	0.03728	0.00514	0.00514	0.84133	0.84133
0.650	24.108	0.392	0.04800	0.05528	0.00818	0.00818	0.79254	0.79254
0.650	31.221	0.507	0.03500	0.03386	0.00510	0.00510	0.05027	0.05027
0.650	40.581	0.659	0.01800	0.01520	0.00287	0.00287	0.94840	0.94840
0.045	4.753	0.857	0.77000	0.60156	0.06444	0.06444	6.83322	6.83322
0.080	4.999	0.507	1.05200	0.89426	0.07768	0.07768	4.12413	4.12413
0.080	6.498	0.659	0.79400	0.70383	0.06621	0.06621	1.85481	1.85481
0.080	8.450	0.857	0.59600	0.54153	0.06151	0.06151	0.78408	0.78408
0.125	4.622	0.300	1.22000	1.15962	0.08368	0.08368	0.52065	0.52065
0.125	6.032	0.392	1.04100	0.98151	0.06505	0.06505	0.83633	0.83633
0.125	7.811	0.507	0.82800	0.78334	0.04948	0.04948	0.81479	0.81479
0.125	10.153	0.659	0.62600	0.57746	0.03863	0.03863	1.57917	1.57917
0.125	13.204	0.857	0.46700	0.41110	0.03341	0.03341	2.79991	2.79991
0.175	4.983	0.231	1.14400	1.18538	0.08426	0.08426	0.24114	0.24114
0.175	6.471	0.300	1.00100	1.02995	0.06888	0.06888	0.17663	0.17663
0.175	8.444	0.392	0.82800	0.84306	0.05322	0.05322	0.08005	0.08005
0.175	10.936	0.507	0.64800	0.64223	0.04198	0.04198	0.01892	0.01892
0.175	14.214	0.659	0.47200	0.43969	0.03275	0.03275	0.97323	0.97323
0.175	18.485	0.857	0.30200	0.28138	0.02747	0.02747	0.56304	0.56304
0.225	4.922	0.177	1.08900	1.16599	0.08745	0.08745	0.77512	0.77512
0.225	6.406	0.231	0.97600	1.03594	0.07294	0.07294	0.67536	0.67536
0.225	8.320	0.300	0.79500	0.88206	0.05776	0.05776	2.27154	2.27154
0.225	10.857	0.392	0.67300	0.70235	0.04342	0.04342	0.45698	0.45698
0.225	14.060	0.507	0.50200	0.51370	0.03176	0.03176	0.13580	0.13580
0.225	18.275	0.659	0.35800	0.32731	0.02421	0.02421	1.60680	1.60680
0.225	23.766	0.857	0.22400	0.18504	0.01947	0.01947	4.00218	4.00218
0.275	4.627	0.137	0.92900	1.10677	0.09292	0.09292	3.66035	3.66035
0.275	6.016	0.177	0.92200	1.00277	0.08112	0.08112	0.99131	0.99131
0.275	7.830	0.231	0.87700	0.87859	0.06855	0.06855	0.00054	0.00054
0.275	10.168	0.300	0.72800	0.73574	0.05373	0.05373	0.02073	0.02073
0.275	13.270	0.392	0.53100	0.57255	0.03785	0.03785	1.20469	1.20469
0.275	17.185	0.507	0.35100	0.40440	0.02542	0.02542	4.41281	4.41281
0.275	22.337	0.659	0.25900	0.24102	0.01858	0.01858	0.93682	0.93682
0.275	29.048	0.857	0.13300	0.11853	0.01465	0.01465	0.97585	0.97585
0.350	7.657	0.177	0.71900	0.75817	0.06075	0.06075	0.41590	0.41590
0.350	9.965	0.231	0.63200	0.65272	0.04896	0.04896	0.17906	0.17906
0.350	12.942	0.300	0.51200	0.53553	0.03741	0.03741	0.39586	0.39586
0.350	16.889	0.392	0.40900	0.40545	0.02747	0.02747	0.01668	0.01668
0.350	21.871	0.507	0.26500	0.27459	0.01731	0.01731	0.30672	0.30672
0.350	28.428	0.659	0.14900	0.15004	0.01078	0.01078	0.00925	0.00925
0.350	36.970	0.857	0.07200	0.05867	0.00808	0.00808	2.72444	2.72444
0.450	9.845	0.177	0.44500	0.47216	0.03990	0.03990	0.46348	0.46348
0.450	12.812	0.231	0.35800	0.39819	0.03171	0.03171	1.60665	1.60665
0.450	16.639	0.300	0.30800	0.31949	0.02504	0.02504	0.21047	0.21047
0.450	21.714	0.392	0.23300	0.23525	0.01823	0.01823	0.01522	0.01522
0.450	28.120	0.507	0.15000	0.15298	0.01210	0.01210	0.06049	0.06049
0.450	36.551	0.659	0.07800	0.07650	0.00742	0.00742	0.04070	0.04070
0.450	47.533	0.857	0.02700	0.02185	0.00506	0.00506	1.03589	1.03589
0.550	15.659	0.231	0.19500	0.21273	0.03137	0.03137	0.31956	0.31956
0.550	20.337	0.300	0.16300	0.16719	0.02330	0.02330	0.03233	0.03233
0.550	26.539	0.392	0.11100	0.12041	0.01477	0.01477	0.40576	0.40576
0.550	34.369	0.507	0.07400	0.07600	0.00946	0.00946	0.04463	0.04463
0.550	44.673	0.659	0.04000	0.03580	0.00440	0.00440	0.91325	0.91325
0.550	58.095	0.857	0.01600	0.00779	0.00287	0.00287	8.21664	8.21664
0.650	24.034	0.300	0.06500	0.07345	0.01098	0.01098	0.59221	0.59221
0.650	31.365	0.392	0.05100	0.05168	0.00795	0.00795	0.00739	0.00739
0.650	40.618	0.507	0.03900	0.03181	0.00577	0.00577	1.55407	1.55407
0.650	52.795	0.659	0.01400	0.01438	0.00363	0.00363	0.01113	0.01113
0.650	68.658	0.857	0.00600	0.00257	0.00224	0.00224	2.33982	2.33982
0.045	4.751	0.659	1.02600	0.79292	0.07262	0.07262	10.30195	10.30195
0.045	6.179	0.857	0.79000	0.63939	0.06613	0.06613	5.18688	5.18688
0.080	5.018	0.392	1.20200	1.10055	0.09400	0.09400	1.16466	1.16466
0.080	6.498	0.507	1.09500	0.92072	0.07998	0.07998	4.74785	4.74785
0.080	8.446	0.659	0.86700	0.72621	0.06740	0.06740	4.36419	4.36419
0.080	10.984	0.857	0.65200	0.56129	0.06192	0.06192	2.14612	2.14612
0.125	4.626	0.231	1.36800	1.32265	0.10611	0.10611	0.18269	0.18269
0.125	6.008	0.300	1.27700	1.17679	0.08709	0.08709	1.32381	1.32381
0.125	7.840	0.392	1.05300	0.99504	0.06687	0.06687	0.75129	0.75129
0.125	10.153	0.507	0.82300	0.79409	0.05053	0.05053	0.32736	0.32736
0.125	13.197	0.659	0.65300	0.58626	0.04010	0.04010	2.76945	2.76945
0.125	17.163	0.857	0.43200	0.41896	0.03376	0.03376	0.14929	0.14929
0.175	4.977	0.177	1.22000	1.32007	0.10354	0.10354	0.93420	0.93420
0.175	6.477	0.231	1.15100	1.19071	0.08869	0.08869	0.20044	0.20044
