ID            : 5949
TypeExp       : DISNEU
TypeTheo      : SIG
TypeCurrent   : CCWP
A1            : 56
A2            : 0
Z1            : 26
Z2            : 0
KinVar        : [X, Q2, Y ]

X	Q2	Y	data	theory	totError	totErrorUncor	chi2Naive	chi2Corr
0.175	4.976	0.659	1.52500	1.63259	0.10116	0.10116	1.13108	1.13108
0.225	4.922	0.507	1.45900	1.55475	0.11440	0.11440	0.70054	0.70054
0.225	6.398	0.659	1.40900	1.52681	0.10432	0.10432	1.27526	1.27526
0.275	4.645	0.392	1.29700	1.41483	0.09405	0.09405	1.56958	1.56958
0.275	6.016	0.507	1.40900	1.38951	0.08554	0.08554	0.05191	0.05191
0.275	7.819	0.659	1.21900	1.36010	0.06680	0.06680	4.46225	4.46225
0.350	7.657	0.507	0.99100	1.09220	0.06501	0.06501	2.42331	2.42331
0.350	9.952	0.659	1.00200	1.06214	0.06111	0.06111	0.96848	0.96848
0.450	9.844	0.507	0.71300	0.70129	0.05748	0.05748	0.04151	0.04151
0.450	12.796	0.659	0.62700	0.67402	0.05336	0.05336	0.77647	0.77647
0.550	15.639	0.659	0.37200	0.36878	0.02754	0.02754	0.01371	0.01371
0.125	4.621	0.659	1.60200	1.66169	0.12835	0.12835	0.21625	0.21625
0.175	4.977	0.507	1.59000	1.67246	0.10626	0.10626	0.60226	0.60226
0.175	6.469	0.659	1.55700	1.64230	0.10355	0.10355	0.67850	0.67850
0.225	4.941	0.392	1.51400	1.57732	0.12268	0.12268	0.26638	0.26638
0.225	6.399	0.507	1.45400	1.55142	0.11485	0.11485	0.71961	0.71961
0.225	8.317	0.659	1.53600	1.52038	0.10690	0.10690	0.02134	0.02134
0.275	4.628	0.300	1.25300	1.42646	0.10342	0.10342	2.81289	2.81289
0.275	6.039	0.392	1.38800	1.40225	0.09612	0.09612	0.02199	0.02199
0.275	7.821	0.507	1.26600	1.37432	0.08138	0.08138	1.77142	1.77142
0.275	10.165	0.659	1.29500	1.34289	0.07338	0.07338	0.42599	0.42599
0.350	7.686	0.392	1.05200	1.09639	0.07323	0.07323	0.36737	0.36737
0.350	9.954	0.507	1.07300	1.06737	0.06738	0.06738	0.00699	0.00699
0.350	12.938	0.659	0.96100	1.03680	0.06051	0.06051	1.56937	1.56937
0.450	9.882	0.392	0.67300	0.70110	0.06138	0.06138	0.20955	0.20955
0.450	12.797	0.507	0.64100	0.67455	0.04980	0.04980	0.45383	0.45383
