ID            : 5124
TypeExp       : DIS
TypeTheo      : RF2
TypeCurrent   : NCGAMMA
A1            : 4
A2            : 2
Z1            : 2
Z2            : 1
KinVar        : [X, Q2, Y ]

X	Q2	Y	data	theory	totError	totErrorUncor	chi2Naive	chi2Corr
0.035	4.700	0.370	0.99100	0.99159	0.01207	0.01207	0.00240	0.00240
0.045	5.600	0.340	1.00300	0.99709	0.01285	0.01285	0.21138	0.21138
0.055	6.300	0.310	1.00500	1.00125	0.01364	0.01364	0.07557	0.07557
0.070	7.300	0.290	0.99000	1.00597	0.01152	0.01152	1.92219	1.92219
0.090	8.700	0.260	1.02100	1.01025	0.01236	0.01236	0.75736	0.75736
0.125	11.000	0.240	0.99800	1.01404	0.01077	0.01077	2.21861	2.21861
0.175	14.000	0.220	1.01900	1.01373	0.01275	0.01275	0.17097	0.17097
0.250	19.000	0.210	0.99600	1.00597	0.01272	0.01272	0.61433	0.61433
0.350	24.000	0.190	0.98700	0.98932	0.02004	0.02004	0.01340	0.01340
0.450	31.000	0.190	0.92500	0.96991	0.02966	0.02966	2.29257	2.29257
0.550	38.000	0.190	0.95200	0.95004	0.05139	0.05139	0.00146	0.00146
0.650	44.000	0.180	1.05200	0.93157	0.08525	0.08525	1.99546	1.99546
