ID            : 5946
TypeExp       : DISNEU
TypeTheo      : SIG
TypeCurrent   : CCWM
A1            : 208
A2            : 0
Z1            : 82
Z2            : 0
KinVar        : [X, Q2, Y ]

X	Q2	Y	data	theory	totError	totErrorUncor	chi2Naive	chi2Corr
0.125	4.104	0.700	0.49030	0.45515	0.03134	0.02390	1.25823	0.18313
0.175	4.104	0.500	0.71490	0.60048	0.04379	0.02903	6.82742	8.11520
0.175	4.925	0.600	0.56210	0.46480	0.03655	0.02559	7.08673	7.19587
0.175	5.745	0.700	0.40450	0.35708	0.02715	0.02199	3.05114	1.84060
0.225	4.221	0.400	0.78240	0.66056	0.04245	0.03022	8.23944	6.57266
0.225	5.276	0.500	0.58600	0.50183	0.03677	0.02653	5.23989	5.05024
0.225	6.332	0.600	0.40960	0.37174	0.03048	0.02189	1.54340	0.08470
0.225	7.387	0.700	0.30730	0.27025	0.02896	0.01949	1.63669	1.41242
0.275	5.159	0.400	0.61450	0.55577	0.03335	0.02722	3.10119	0.85475
0.275	6.449	0.500	0.43390	0.40954	0.02930	0.02291	0.69147	-0.52653
0.275	7.739	0.600	0.33820	0.29168	0.02468	0.02039	3.55242	2.60346
0.275	9.028	0.700	0.24540	0.20095	0.02071	0.01747	4.60609	4.30742
0.350	6.566	0.400	0.40890	0.40963	0.02413	0.01594	0.00092	0.06966
0.350	8.207	0.500	0.33090	0.29084	0.02063	0.01429	3.77125	4.98565
0.350	9.849	0.600	0.21890	0.19709	0.01511	0.01168	2.08207	1.51981
0.450	10.553	0.500	0.18910	0.17021	0.01568	0.01088	1.45127	2.17434
0.450	12.663	0.600	0.10870	0.10948	0.01057	0.00825	0.00539	0.04699
0.125	4.104	0.500	0.76490	0.71955	0.05302	0.03831	0.73156	-0.20260
0.125	4.925	0.600	0.63980	0.58590	0.04661	0.03459	1.33699	0.61325
0.125	5.745	0.700	0.54330	0.47740	0.04787	0.03146	1.89512	1.94816
0.175	4.596	0.400	0.83000	0.77618	0.05285	0.04120	1.03713	-0.35492
0.175	5.745	0.500	0.66160	0.61194	0.04808	0.03635	1.06671	0.02748
0.175	6.894	0.600	0.54210	0.47511	0.04220	0.03201	2.51995	2.12801
0.175	8.043	0.700	0.41640	0.36684	0.03437	0.02746	2.07986	1.13280
0.225	4.432	0.300	0.93390	0.85024	0.05270	0.04439	2.52036	0.38677
0.225	5.909	0.400	0.71750	0.66241	0.05111	0.03951	1.16149	0.36395
0.225	7.387	0.500	0.51010	0.50374	0.04119	0.03189	0.02384	-0.21718
0.225	8.864	0.600	0.37320	0.37423	0.03160	0.02674	0.00106	0.04502
0.225	10.341	0.700	0.31340	0.27342	0.02887	0.02395	1.91772	1.22883
0.275	5.417	0.300	0.75250	0.72531	0.04867	0.04070	0.31226	-0.41965
0.275	7.223	0.400	0.60220	0.55052	0.04283	0.03600	1.45622	0.32577
0.275	9.028	0.500	0.42360	0.40613	0.03354	0.02949	0.27145	-0.18897
0.275	10.834	0.600	0.33250	0.29007	0.02791	0.02528	2.31132	1.58841
0.275	12.640	0.700	0.26080	0.20083	0.02875	0.02274	4.34896	5.02739
0.350	6.894	0.300	0.57450	0.54291	0.03472	0.02500	0.82799	0.19154
0.350	9.192	0.400	0.43250	0.39933	0.02539	0.02174	1.70667	0.67730
0.350	11.491	0.500	0.27630	0.28396	0.02106	0.01699	0.13230	0.47029
0.350	13.789	0.600	0.19410	0.19299	0.01560	0.01376	0.00505	-0.04174
0.350	16.087	0.700	0.12020	0.12410	0.01246	0.01040	0.09813	0.34675
0.450	11.819	0.400	0.24940	0.23799	0.02602	0.01701	0.19224	0.31120
0.450	14.774	0.500	0.17010	0.16296	0.01739	0.01361	0.16846	0.11510
0.450	17.728	0.600	0.12170	0.10522	0.01300	0.01115	1.60697	1.67689
0.550	14.445	0.400	0.12210	0.12504	0.01712	0.01151	0.02951	0.05256
0.550	18.056	0.500	0.10170	0.08312	0.01347	0.01063	1.90161	3.12906
0.550	21.668	0.600	0.04924	0.05173	0.00929	0.00735	0.07197	0.07939
0.650	21.340	0.500	0.03742	0.03589	0.00764	0.00595	0.04004	0.04868
0.650	25.607	0.600	0.02068	0.02174	0.00506	0.00428	0.04382	0.06886
0.080	4.052	0.600	0.79910	0.70137	0.07071	0.05534	1.91017	1.61068
0.080	4.728	0.700	0.63310	0.59843	0.06997	0.04816	0.24558	0.06134
0.080	5.403	0.800	0.63260	0.51819	0.07613	0.04998	2.25889	3.19880
0.125	4.221	0.400	0.97590	0.89711	0.06723	0.05888	1.37326	0.39373
0.125	5.276	0.500	0.83450	0.73823	0.06415	0.05327	2.25224	1.50734
0.125	6.332	0.600	0.67360	0.60233	0.06134	0.04685	1.35024	0.53717
0.125	7.387	0.700	0.51420	0.49243	0.05375	0.03932	0.16406	-0.12386
0.125	8.442	0.800	0.36970	0.41020	0.04952	0.03363	0.66869	2.29126
0.175	4.432	0.300	1.12900	0.97574	0.07720	0.06547	3.94171	2.28830
0.175	5.909	0.400	0.96270	0.78432	0.06797	0.05983	6.88693	5.53665
0.175	7.387	0.500	0.68920	0.61875	0.06104	0.04923	1.33204	0.56982
0.175	8.864	0.600	0.44920	0.48130	0.04589	0.03775	0.48932	1.31036
0.175	10.341	0.700	0.37250	0.37279	0.04274	0.03407	0.00005	0.00595
0.175	11.819	0.800	0.26070	0.29347	0.03323	0.02846	0.97251	1.88410
0.225	5.698	0.300	0.93430	0.85033	0.06965	0.06114	1.45344	0.53998
0.225	7.598	0.400	0.69170	0.66213	0.05691	0.05018	0.26987	-0.26048
0.225	9.497	0.500	0.45080	0.50388	0.04444	0.03987	1.42696	2.65298
0.225	11.397	0.600	0.37490	0.37502	0.04064	0.03594	0.00001	0.00209
0.225	13.296	0.700	0.32250	0.27483	0.03925	0.03256	1.47461	1.36187
