ID            : 5113
TypeExp       : DIS
TypeTheo      : RF2
TypeCurrent   : NCGAMMA
A1            : 12
A2            : 2
Z1            : 6
Z2            : 1
KinVar        : [X, Q2, Y ]

X	Q2	Y	data	theory	totError	totErrorUncor	chi2Naive	chi2Corr
0.035	4.500	0.360	0.99000	0.97990	0.00947	0.00947	1.13674	1.13674
0.045	5.500	0.340	0.98300	0.99185	0.01022	0.01022	0.74940	0.74940
0.055	6.400	0.320	1.01100	1.00085	0.01106	0.01106	0.84230	0.84230
0.070	7.800	0.310	1.02100	1.01084	0.00952	0.00952	1.13743	1.13743
0.090	9.600	0.300	1.02800	1.01908	0.01109	0.01109	0.64763	0.64763
0.125	12.000	0.280	1.03200	1.02575	0.00954	0.00954	0.42945	0.42945
0.175	15.000	0.260	1.01100	1.02361	0.01189	0.01189	1.12483	1.12483
0.250	20.000	0.230	1.01000	1.00813	0.01189	0.01189	0.02466	0.02466
0.350	27.000	0.210	0.97100	0.97957	0.01628	0.01628	0.27684	0.27684
0.450	32.000	0.200	0.97500	0.94975	0.02482	0.02482	1.03471	1.03471
0.550	37.000	0.170	0.92500	0.92074	0.03767	0.03767	0.01278	0.01278
0.650	41.000	0.140	0.87300	0.89402	0.05424	0.05424	0.15014	0.15014
