ID            : 5121
TypeExp       : DIS
TypeTheo      : RF2
TypeCurrent   : NCGAMMA
A1            : 40
A2            : 2
Z1            : 20
Z2            : 1
KinVar        : [X, Q2, Y ]

X	Q2	Y	data	theory	totError	totErrorUncor	chi2Naive	chi2Corr
0.035	4.700	0.360	0.95600	0.96397	0.00941	0.00941	0.71620	0.71620
0.045	5.700	0.350	0.98600	0.98223	0.01103	0.01103	0.11669	0.11669
0.055	6.800	0.340	0.97300	0.99639	0.01184	0.01184	3.90529	3.90529
0.070	8.100	0.320	0.99500	1.01153	0.01024	0.01024	2.60568	2.60568
0.090	9.700	0.300	1.02700	1.02446	0.01191	0.01191	0.04543	0.04543
0.125	12.000	0.260	1.02900	1.03404	0.01029	0.01029	0.24016	0.24016
0.175	14.000	0.230	1.04200	1.03109	0.01193	0.01193	0.83548	0.83548
0.250	19.000	0.210	0.99300	1.01000	0.01187	0.01187	2.05298	2.05298
0.350	24.000	0.190	0.99300	0.97279	0.01846	0.01846	1.19904	1.19904
0.450	30.000	0.190	0.93800	0.93556	0.02791	0.02791	0.00765	0.00765
0.550	35.000	0.180	0.87700	0.90080	0.04257	0.04257	0.31245	0.31245
0.650	41.000	0.170	0.91900	0.86914	0.06746	0.06746	0.54626	0.54626
