ID            : 5158
TypeExp       : DIS
TypeTheo      : RSIG
TypeCurrent   : NCGAMMA
A1            : 84
A2            : 2
Z1            : 42
Z2            : 1
KinVar        : [X, Q2, Y ]

X	Q2	Y	data	theory	totError	totErrorUncor	chi2Naive	chi2Corr
0.125	4.230	0.658	1.02100	1.02427	0.02646	0.02646	0.01526	0.01526
0.175	4.238	0.475	1.04900	1.02922	0.02785	0.02785	0.50435	0.50435
0.175	4.744	0.531	1.05000	1.02945	0.03019	0.03019	0.46328	0.46328
0.175	5.431	0.604	1.03100	1.02968	0.02779	0.02779	0.00227	0.00227
0.250	4.239	0.336	1.00100	1.01366	0.02184	0.02184	0.33599	0.33599
0.250	4.740	0.376	0.98500	1.01324	0.02567	0.02567	1.21014	1.21014
0.250	5.472	0.433	0.99100	1.01272	0.02108	0.02108	1.06164	1.06164
0.250	6.453	0.505	1.02200	1.01214	0.03265	0.03265	0.09115	0.09115
0.350	6.470	0.334	0.97500	0.97557	0.02862	0.02862	0.00040	0.00040
0.350	7.470	0.386	0.93200	0.97458	0.03008	0.03008	2.00358	2.00358
0.350	8.453	0.427	0.93500	0.97379	0.03489	0.03489	1.23582	1.23582
0.350	9.455	0.478	1.04100	0.97316	0.04904	0.04904	1.91364	1.91364
