ID            : 5105
TypeExp       : DIS
TypeTheo      : RF2
TypeCurrent   : NCGAMMA
A1            : 64
A2            : 2
Z1            : 32
Z2            : 1
KinVar        : [X, Q2 ]

X	Q2	data	theory	totError	totErrorUncor	chi2Naive	chi2Corr
0.031	4.500	0.93000	0.94934	0.03330	0.03330	0.33734	0.33734
0.050	8.500	0.95500	0.99181	0.02759	0.02759	1.78046	1.78046
0.079	13.600	0.99600	1.02386	0.02408	0.02408	1.33792	1.33792
0.123	18.100	1.04700	1.03844	0.02687	0.02687	0.10138	0.10138
0.173	21.300	1.02100	1.03392	0.02843	0.02843	0.20673	0.20673
0.244	24.700	1.03700	1.01185	0.02832	0.02832	0.78857	0.78857
0.342	30.000	0.94500	0.97288	0.03362	0.03362	0.68767	0.68767
0.443	34.400	0.95700	0.93338	0.04847	0.04847	0.23760	0.23760
0.563	40.400	0.91000	0.89023	0.09749	0.09749	0.04110	0.04110
