ID            : 5112
TypeExp       : DIS
TypeTheo      : RF2
TypeCurrent   : NCGAMMA
A1            : 7
A2            : 12
Z1            : 3.5
Z2            : 6
KinVar        : [X, Q2, Y ]

X	Q2	Y	data	theory	totError	totErrorUncor	chi2Naive	chi2Corr
0.018	4.500	0.690	1.02100	1.01574	0.02478	0.02478	0.04501	0.04501
0.025	6.000	0.660	1.01900	1.01017	0.01289	0.01289	0.46913	0.46913
0.035	8.000	0.620	1.00000	1.00536	0.01360	0.01360	0.15524	0.15524
0.045	9.800	0.590	1.01000	1.00211	0.01653	0.01653	0.22789	0.22789
0.055	11.400	0.570	0.99700	0.99979	0.01952	0.01952	0.02041	0.02041
0.070	13.800	0.540	1.00200	0.99738	0.01296	0.01296	0.12675	0.12675
0.090	16.800	0.510	0.99800	0.99547	0.01846	0.01846	0.01885	0.01885
0.125	21.400	0.470	0.99300	0.99447	0.01081	0.01081	0.01842	0.01842
0.175	27.600	0.430	1.00700	0.99546	0.01456	0.01456	0.62834	0.62834
0.250	35.500	0.390	1.00100	0.99906	0.01296	0.01296	0.02233	0.02233
0.350	45.400	0.360	1.00100	1.00454	0.02785	0.02785	0.01616	0.01616
0.450	53.900	0.330	0.98500	1.00957	0.03707	0.03707	0.43927	0.43927
0.550	60.500	0.300	0.93800	1.01414	0.05970	0.05970	1.62689	1.62689
0.700	66.700	0.260	0.99700	1.02048	0.10222	0.10222	0.05276	0.05276
